country,year,foradl_lop_koks
rou,2022,1282.1
rou,2023,295.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2.1
svn,2009,1.8
svn,2010,0.8
svn,2011,0.6
svn,2012,0.5
svn,2013,0.6
svn,2014,0.8
svn,2015,1.2
svn,2016,0.1
svn,2017,0.3
svn,2018,1
svn,2019,0.2
svn,2020,0.5
svn,2021,0.2
svn,2022,0.5
svn,2023,0.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,124.1
svk,2009,151.2
svk,2010,415.4
svk,2011,90.1
svk,2012,367.1
svk,2013,261.3
svk,2014,297.4
svk,2015,328.1
svk,2016,41.5
svk,2017,334.6
svk,2018,298.4
svk,2019,390.5
svk,2020,289.4
svk,2021,384.5
svk,2022,1237.8
svk,2023,1057.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,666
fin,2009,620
fin,2010,525
fin,2011,665
fin,2012,786
fin,2013,643
fin,2014,420
fin,2015,597
fin,2016,610
fin,2017,1022
fin,2018,727
fin,2019,835
fin,2020,536
fin,2021,319
fin,2022,1212
fin,2023,1317
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,748
swe,2009,918.3
swe,2010,663.6
swe,2011,822.3
swe,2012,964.8
swe,2013,1150.6
swe,2014,1234.7
swe,2015,850.8
swe,2016,737.9
swe,2017,924.2
swe,2018,695
swe,2019,588.8
swe,2020,25.3
swe,2021,807.8
swe,2022,2047.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,0
isl,2009,0
isl,2010,0
isl,2011,0
isl,2012,0
isl,2013,0.1
isl,2014,0.1
isl,2015,-0.2
isl,2016,0.3
isl,2017,2.6
isl,2018,3.4
isl,2019,1.2
isl,2020,0.6
isl,2021,1.5
isl,2022,1.8
isl,2023,2.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,
nor,2009,
nor,2010,
nor,2011,
nor,2012,
nor,2013,
nor,2014,
nor,2015,
nor,2016,
nor,2017,
nor,2018,
nor,2019,
nor,2020,
nor,2021,
nor,2022,
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,2578.2
gbr,2009,1792.5
gbr,2010,2434
gbr,2011,969
gbr,2012,1006.3
gbr,2013,1765.1
gbr,2014,1570.5
gbr,2015,5096.2
gbr,2016,4805.5
gbr,2017,4308.3
gbr,2018,3274.5
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,26.5
bih,2009,30
bih,2010,8.9
bih,2011,34.2
bih,2012,-52.6
bih,2013,-31.8
bih,2014,-40.6
bih,2015,0.3
bih,2016,29.7
bih,2017,-1
bih,2018,5.8
bih,2019,5.8
bih,2020,14.3
bih,2021,69.3
bih,2022,59.8
bih,2023,31.1
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,38.3
mkd,2009,11.9
mkd,2010,8.1
mkd,2011,17.6
mkd,2012,17
mkd,2013,0.2
mkd,2014,0.6
mkd,2015,0.4
mkd,2016,0.5
mkd,2017,0.4
mkd,2018,0.4
mkd,2019,0.4
mkd,2020,0.5
mkd,2021,0.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,526
srb,2009,357.2
srb,2010,424.4
srb,2011,453.3
srb,2012,476.1
srb,2013,655.2
srb,2014,583.6
srb,2015,473
srb,2016,402.2
srb,2017,524.8
srb,2018,684.3
srb,2019,611.9
srb,2020,460.4
srb,2021,639.7
srb,2022,1233.3
srb,2023,779.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
