country,year,foradl_lop_papper
gbr,2014,5112.1
gbr,2015,5154
gbr,2016,5244.8
gbr,2017,5145.6
gbr,2018,4803.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,14
bih,2009,19.3
bih,2010,26.5
bih,2011,34.7
bih,2012,33.2
bih,2013,37
bih,2014,48.2
bih,2015,53.5
bih,2016,48.1
bih,2017,64.2
bih,2018,76.6
bih,2019,68.9
bih,2020,78.7
bih,2021,102.7
bih,2022,141.6
bih,2023,118.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,9.8
mkd,2009,11.4
mkd,2010,11.6
mkd,2011,12
mkd,2012,11.6
mkd,2013,10
mkd,2014,12.2
mkd,2015,12.4
mkd,2016,13.6
mkd,2017,13
mkd,2018,13.8
mkd,2019,15.6
mkd,2020,18.6
mkd,2021,18.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,142.8
srb,2009,133.2
srb,2010,137.9
srb,2011,172
srb,2012,164
srb,2013,162.7
srb,2014,147.9
srb,2015,159.6
srb,2016,173
srb,2017,191.4
srb,2018,210.4
srb,2019,232.7
srb,2020,222.3
srb,2021,234.8
srb,2022,296.5
srb,2023,281.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
