country,year,foradl_lop_kem
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,
nor,2009,
nor,2010,
nor,2011,
nor,2012,
nor,2013,
nor,2014,
nor,2015,
nor,2016,
nor,2017,
nor,2018,
nor,2019,
nor,2020,
nor,2021,
nor,2022,
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,9941.2
gbr,2009,8715.5
gbr,2010,9057.6
gbr,2011,10749.2
gbr,2012,10954.9
gbr,2013,12474.4
gbr,2014,13913.6
gbr,2015,16703.4
gbr,2016,13882
gbr,2017,12628.5
gbr,2018,12835.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,30.3
bih,2009,35
bih,2010,34.2
bih,2011,41
bih,2012,57
bih,2013,60.1
bih,2014,66.4
bih,2015,78.5
bih,2016,95
bih,2017,97.8
bih,2018,94.9
bih,2019,95.2
bih,2020,99.6
bih,2021,103.2
bih,2022,163.8
bih,2023,194.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
