country,year,foradl_lop_sport
mlt,2021,43.6
mlt,2022,59.9
mlt,2023,68.9
mlt,2024,76.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2013
nld,2009,2120
nld,2010,2225
nld,2011,2310
nld,2012,2409
nld,2013,2440
nld,2014,2536
nld,2015,2610
nld,2016,2631
nld,2017,2679
nld,2018,2744
nld,2019,2779
nld,2020,1701
nld,2021,1636
nld,2022,2805
nld,2023,3193
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1071.4
aut,2009,1034.5
aut,2010,1061.7
aut,2011,1086.5
aut,2012,1108.7
aut,2013,1134
aut,2014,1151.2
aut,2015,1164.1
aut,2016,1133.7
aut,2017,1177.8
aut,2018,1226.4
aut,2019,1272.8
aut,2020,898.7
aut,2021,945.1
aut,2022,1432.4
aut,2023,1608
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,807.8
pol,2009,739.9
pol,2010,930.2
pol,2011,905
pol,2012,922.4
pol,2013,880.5
pol,2014,910.3
pol,2015,1011
pol,2016,1109
pol,2017,1189.1
pol,2018,1442.2
pol,2019,1453.1
pol,2020,1335.8
pol,2021,1421.6
pol,2022,1620.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,585.7
prt,2009,604.9
prt,2010,624.1
prt,2011,606.7
prt,2012,513.7
prt,2013,514.2
prt,2014,524.7
prt,2015,604.7
prt,2016,623.8
prt,2017,777.2
prt,2018,841.9
prt,2019,889.8
prt,2020,568.2
prt,2021,667.9
prt,2022,990.2
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,532.6
rou,2009,871.4
rou,2010,143.7
rou,2011,48.8
rou,2012,128.2
rou,2013,226.8
rou,2014,212.9
rou,2015,259.8
rou,2016,374.7
rou,2017,516.4
rou,2018,584
rou,2019,636.7
rou,2020,569
rou,2021,763
rou,2022,942.1
rou,2023,1215.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,91.4
svn,2009,88.4
svn,2010,88.3
svn,2011,89.5
svn,2012,83.7
svn,2013,94.8
svn,2014,87.4
svn,2015,81.9
svn,2016,97
svn,2017,102.9
svn,2018,109.6
svn,2019,117.6
svn,2020,94.3
svn,2021,116.7
svn,2022,142.1
svn,2023,153.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,160.8
svk,2009,165.5
svk,2010,171.1
svk,2011,212.4
svk,2012,254.9
svk,2013,225.8
svk,2014,217.7
svk,2015,282.2
svk,2016,303.3
svk,2017,259.3
svk,2018,287.4
svk,2019,255.4
svk,2020,182.4
svk,2021,183.6
svk,2022,302.5
svk,2023,361.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,927
fin,2009,949
fin,2010,978
fin,2011,1038
fin,2012,1067
fin,2013,1119
fin,2014,1167
fin,2015,1181
fin,2016,1230
fin,2017,1297
fin,2018,1361
fin,2019,1457
fin,2020,1294
fin,2021,1372
fin,2022,1548
fin,2023,1740
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1787.2
swe,2009,1715.7
swe,2010,1951.6
swe,2011,2139.1
swe,2012,2358.9
swe,2013,2484.7
swe,2014,2445.1
swe,2015,2507.4
swe,2016,2590.8
swe,2017,2803.7
swe,2018,2746.5
swe,2019,2823.7
swe,2020,2444
swe,2021,2734
swe,2022,3035.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,57.5
isl,2009,55.8
isl,2010,65.7
isl,2011,71.6
isl,2012,78.3
isl,2013,88.4
isl,2014,78.8
isl,2015,88.4
isl,2016,106.6
isl,2017,122.5
isl,2018,134.4
isl,2019,136.8
isl,2020,112.9
isl,2021,142.2
isl,2022,182.7
isl,2023,189.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,739
nor,2009,659.8
nor,2010,823.2
nor,2011,883.3
nor,2012,970.4
nor,2013,979.3
nor,2014,1034.9
nor,2015,1036.4
nor,2016,1170.1
nor,2017,1275.3
nor,2018,1314.6
nor,2019,1429.9
nor,2020,1089.7
nor,2021,1267.4
nor,2022,1621.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2114.4
che,2009,1347.6
che,2010,1729.2
che,2011,1440
che,2012,3177.2
che,2013,1482.7
che,2014,2713.6
che,2015,1707.6
che,2016,4075.6
che,2017,2360.9
che,2018,4084.4
che,2019,2448.7
che,2020,1569.1
che,2021,3556.2
che,2022,5308.7
che,2023,1651.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,10245.1
gbr,2009,9182.4
gbr,2010,10025.2
gbr,2011,10343.6
gbr,2012,11599.9
gbr,2013,11486.5
gbr,2014,12594.9
gbr,2015,14691.9
gbr,2016,14542.1
gbr,2017,13831.9
gbr,2018,13945.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,18.6
bih,2009,18.8
bih,2010,24.9
bih,2011,23.3
bih,2012,24.6
bih,2013,24.7
bih,2014,30.9
bih,2015,32.7
bih,2016,35.9
bih,2017,43.2
bih,2018,42.5
bih,2019,46.8
bih,2020,39.7
bih,2021,44.6
bih,2022,59.3
bih,2023,78.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,36.9
mkd,2009,41.6
mkd,2010,11.6
mkd,2011,9.1
mkd,2012,7.4
mkd,2013,4.5
mkd,2014,3.8
mkd,2015,3.5
mkd,2016,4.3
mkd,2017,9.7
mkd,2018,7
mkd,2019,9.1
mkd,2020,5.2
mkd,2021,4.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,131.7
srb,2009,148.3
srb,2010,124.2
srb,2011,145.1
srb,2012,130.5
srb,2013,130.8
srb,2014,138.7
srb,2015,154.1
srb,2016,154.4
srb,2017,153.5
srb,2018,164.6
srb,2019,173.1
srb,2020,137.6
srb,2021,198.3
srb,2022,248.4
srb,2023,277.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
