country,year,loner_lop_parti_rep
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,674.2
isl,2009,492.1
isl,2010,562.2
isl,2011,619.1
isl,2012,619.3
isl,2013,655.8
isl,2014,745.7
isl,2015,862.1
isl,2016,1072.2
isl,2017,1315.7
isl,2018,1329.9
isl,2019,1264.7
isl,2020,1100.3
isl,2021,1237
isl,2022,1481.5
isl,2023,1546.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,15798.2
nor,2009,14999.1
nor,2010,16693.9
nor,2011,17630.3
nor,2012,19334.3
nor,2013,19294.6
nor,2014,18457.5
nor,2015,17837.7
nor,2016,17609.3
nor,2017,18152.9
nor,2018,18152.2
nor,2019,18258.7
nor,2020,16761.4
nor,2021,18991.5
nor,2022,20242.3
nor,2023,18849.3
nor,2024,19323.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,125938.1
gbr,2009,112010.9
gbr,2010,119186.6
gbr,2011,119431.3
gbr,2012,130538.8
gbr,2013,127978.5
gbr,2014,138328
gbr,2015,158016.9
gbr,2016,145981.6
gbr,2017,143501
gbr,2018,146845.9
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,840
bih,2009,868
bih,2010,871.9
bih,2011,902
bih,2012,914.7
bih,2013,927.5
bih,2014,926
bih,2015,958.9
bih,2016,998.8
bih,2017,1026.5
bih,2018,1096.7
bih,2019,1173.6
bih,2020,1173.3
bih,2021,1248.8
bih,2022,1514.4
bih,2023,1739.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,298.7
mkd,2009,331.9
mkd,2010,356.5
mkd,2011,361.1
mkd,2012,378.2
mkd,2013,363.9
mkd,2014,417.5
mkd,2015,432.8
mkd,2016,483
mkd,2017,529.7
mkd,2018,581.9
mkd,2019,626.4
mkd,2020,665.8
mkd,2021,695.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,212
alb,2014,201.8
alb,2015,400.2
alb,2016,301.4
alb,2017,361.3
alb,2018,370.5
alb,2019,430.2
alb,2020,468.1
alb,2021,532.8
alb,2022,560.8
alb,2023,585.5
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1627.3
srb,2009,1545.5
srb,2010,1466
srb,2011,1547.7
srb,2012,1606.2
srb,2013,1608
srb,2014,1611
srb,2015,1739.6
srb,2016,1820.3
srb,2017,1939.4
srb,2018,2151.7
srb,2019,2367.2
srb,2020,2602.2
srb,2021,3127.9
srb,2022,3645.7
srb,2023,4134.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,14813.8
tur,2010,18909
tur,2011,19562.5
tur,2012,23717
tur,2013,25310.3
tur,2014,26047.6
tur,2015,29497.4
tur,2016,33875.1
tur,2017,31299.7
tur,2018,26825.4
tur,2019,28660.2
tur,2020,24831
tur,2021,25621.6
tur,2022,28008
tur,2023,40772
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
