country,year,foradl_fast_sjo_transp
prt,2015,183.2
prt,2016,191.5
prt,2017,201
prt,2018,165.6
prt,2019,177.4
prt,2020,125.3
prt,2021,154.7
prt,2022,179.2
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,257.1
rou,2009,291.3
rou,2010,639.9
rou,2011,1306.3
rou,2012,1438.3
rou,2013,1367.2
rou,2014,721.8
rou,2015,773
rou,2016,878.7
rou,2017,890.7
rou,2018,875
rou,2019,862.8
rou,2020,568.1
rou,2021,293
rou,2022,216.2
rou,2023,242.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,240.4
svn,2009,203.1
svn,2010,203.6
svn,2011,209.6
svn,2012,203.7
svn,2013,198.4
svn,2014,179.4
svn,2015,84.9
svn,2016,81.5
svn,2017,65.7
svn,2018,48.6
svn,2019,32.1
svn,2020,13.5
svn,2021,8.8
svn,2022,8.1
svn,2023,34.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,51.4
svk,2009,42.8
svk,2010,49.8
svk,2011,41
svk,2012,46.4
svk,2013,34.8
svk,2014,40.7
svk,2015,30.4
svk,2016,20.7
svk,2017,18.7
svk,2018,15.3
svk,2019,21.2
svk,2020,17.3
svk,2021,14.9
svk,2022,21.1
svk,2023,24.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,782.4
fin,2009,640.1
fin,2010,705.4
fin,2011,807.7
fin,2012,852.5
fin,2013,956.8
fin,2014,950.9
fin,2015,739.5
fin,2016,683
fin,2017,687.9
fin,2018,672.3
fin,2019,757
fin,2020,531
fin,2021,661.6
fin,2022,614.8
fin,2023,588.5
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,643.5
swe,2009,547.1
swe,2010,685.2
swe,2011,704.7
swe,2012,743.1
swe,2013,782.9
swe,2014,667.4
swe,2015,564.4
swe,2016,524.8
swe,2017,610
swe,2018,674
swe,2019,918.3
swe,2020,637.2
swe,2021,719.4
swe,2022,424.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,117.3
isl,2009,115.8
isl,2010,90.3
isl,2011,94.2
isl,2012,96
isl,2013,104.4
isl,2014,95.9
isl,2015,106.5
isl,2016,103.7
isl,2017,130.2
isl,2018,130.5
isl,2019,135.2
isl,2020,109.6
isl,2021,112.3
isl,2022,145.2
isl,2023,155.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3609.9
nor,2009,3752.8
nor,2010,3827.6
nor,2011,4287.8
nor,2012,4436.9
nor,2013,4821.9
nor,2014,5104.1
nor,2015,4788
nor,2016,4909.3
nor,2017,4942.4
nor,2018,4986.9
nor,2019,5213
nor,2020,1964.1
nor,2021,2057.6
nor,2022,3459
nor,2023,3173.6
nor,2024,3140.6
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,0.2
mkd,2009,1.4
mkd,2010,1.9
mkd,2011,1.3
mkd,2012,0.5
mkd,2013,0.4
mkd,2014,0.4
mkd,2015,0.6
mkd,2016,0.9
mkd,2017,0.9
mkd,2018,0.9
mkd,2019,1.1
mkd,2020,0.7
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,24.6
srb,2009,15.6
srb,2010,15.7
srb,2011,13.1
srb,2012,10.9
srb,2013,11.6
srb,2014,12.6
srb,2015,14
srb,2016,13.7
srb,2017,13.7
srb,2018,15.4
srb,2019,19.3
srb,2020,16.8
srb,2021,21.9
srb,2022,30.2
srb,2023,33.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
