country,year,foradl_lop_livs
rou,2006,
rou,2007,
rou,2008,9650.9
rou,2009,6803.8
rou,2010,7862.2
rou,2011,8903.8
rou,2012,8475.5
rou,2013,7175.6
rou,2014,7105.8
rou,2015,7688.7
rou,2016,7172.2
rou,2017,8516.1
rou,2018,9963.5
rou,2019,10083.2
rou,2020,9628
rou,2021,8033.3
rou,2022,7927.2
rou,2023,9626.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,467.6
svn,2009,509.9
svn,2010,460.3
svn,2011,458.5
svn,2012,451.1
svn,2013,464.5
svn,2014,495.5
svn,2015,518.9
svn,2016,544.7
svn,2017,564.7
svn,2018,629.6
svn,2019,666
svn,2020,668
svn,2021,698.9
svn,2022,723.6
svn,2023,845.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1008.4
svk,2009,887.7
svk,2010,885
svk,2011,985.2
svk,2012,995.3
svk,2013,892.5
svk,2014,893.5
svk,2015,960.9
svk,2016,832.3
svk,2017,884.5
svk,2018,1105.4
svk,2019,1180.3
svk,2020,1246.4
svk,2021,1260.2
svk,2022,1353.1
svk,2023,1618.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2549
fin,2009,2815
fin,2010,2623
fin,2011,2595
fin,2012,2701
fin,2013,2703
fin,2014,2659
fin,2015,2630
fin,2016,2592
fin,2017,2728
fin,2018,2751
fin,2019,2868
fin,2020,2959
fin,2021,2925
fin,2022,2793
fin,2023,3200
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3870
swe,2009,3803.2
swe,2010,4291.8
swe,2011,4655.1
swe,2012,4517.8
swe,2013,4818.6
swe,2014,4556.7
swe,2015,4651.7
swe,2016,4752.6
swe,2017,4658.2
swe,2018,4630.7
swe,2019,4498.5
swe,2020,4826.3
swe,2021,4922.9
swe,2022,4452.6
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,431.4
isl,2009,488.5
isl,2010,505.5
isl,2011,580
isl,2012,592.9
isl,2013,642.3
isl,2014,633.8
isl,2015,723.6
isl,2016,744.4
isl,2017,803.1
isl,2018,850.6
isl,2019,929
isl,2020,827
isl,2021,843.8
isl,2022,1138.8
isl,2023,1129.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,197.5
lie,2017,187.4
lie,2018,141.3
lie,2019,186.2
lie,2020,204.1
lie,2021,225.4
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
