country,year,foradl_lop_post
aut,2022,1570.5
aut,2023,1623
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,
pol,2009,
pol,2010,
pol,2011,
pol,2012,
pol,2013,
pol,2014,
pol,2015,
pol,2016,
pol,2017,
pol,2018,
pol,2019,
pol,2020,
pol,2021,
pol,2022,
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,487
prt,2009,481.2
prt,2010,515.1
prt,2011,495.5
prt,2012,457.3
prt,2013,457.4
prt,2014,487.1
prt,2015,521.7
prt,2016,505.3
prt,2017,487
prt,2018,508.1
prt,2019,521.5
prt,2020,494.9
prt,2021,511.8
prt,2022,515.2
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,430.7
rou,2009,406
rou,2010,422.6
rou,2011,400.7
rou,2012,362.1
rou,2013,397.4
rou,2014,427.2
rou,2015,409.1
rou,2016,431.2
rou,2017,387.8
rou,2018,469.7
rou,2019,506
rou,2020,670.2
rou,2021,798.1
rou,2022,799.7
rou,2023,812.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,203.3
svn,2009,202.6
svn,2010,200.6
svn,2011,208.9
svn,2012,196.1
svn,2013,184.3
svn,2014,186.5
svn,2015,182.8
svn,2016,182.7
svn,2017,178.3
svn,2018,187.3
svn,2019,194.4
svn,2020,205.5
svn,2021,223.4
svn,2022,236.8
svn,2023,247.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,250.5
svk,2009,246.1
svk,2010,259.6
svk,2011,238.1
svk,2012,249.8
svk,2013,257.1
svk,2014,276.4
svk,2015,266.5
svk,2016,276.7
svk,2017,283.5
svk,2018,279.6
svk,2019,334
svk,2020,340
svk,2021,382.2
svk,2022,404.1
svk,2023,419
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,955
fin,2009,1008
fin,2010,981
fin,2011,875
fin,2012,878
fin,2013,845
fin,2014,828
fin,2015,821
fin,2016,818
fin,2017,789
fin,2018,716
fin,2019,620
fin,2020,635
fin,2021,657
fin,2022,672
fin,2023,580
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,
swe,2009,
swe,2010,
swe,2011,
swe,2012,
swe,2013,
swe,2014,
swe,2015,
swe,2016,
swe,2017,
swe,2018,
swe,2019,
swe,2020,
swe,2021,
swe,2022,
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,35.1
isl,2009,27.6
isl,2010,30.2
isl,2011,29
isl,2012,32.6
isl,2013,33.6
isl,2014,36.8
isl,2015,42.2
isl,2016,52.6
isl,2017,61.6
isl,2018,57.8
isl,2019,57.9
isl,2020,53.2
isl,2021,57.1
isl,2022,60.7
isl,2023,52.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
