country,year,loner_lop_industri
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,23874.2
nor,2009,22622.2
nor,2010,24695.7
nor,2011,27160.7
nor,2012,30717.4
nor,2013,31584
nor,2014,30753.3
nor,2015,28174.2
nor,2016,25990.4
nor,2017,25595
nor,2018,25909.2
nor,2019,27090.2
nor,2020,24972.2
nor,2021,27544.9
nor,2022,29918.7
nor,2023,28975.8
nor,2024,30188.8
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,149826.7
gbr,2009,127357.6
gbr,2010,136677
gbr,2011,138923.6
gbr,2012,150757.8
gbr,2013,153093.3
gbr,2014,162375.3
gbr,2015,180648.6
gbr,2016,161440.2
gbr,2017,156010.8
gbr,2018,160457.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,1479.1
bih,2009,1469.3
bih,2010,1488.1
bih,2011,1574.8
bih,2012,1617.9
bih,2013,1640.2
bih,2014,1659.7
bih,2015,1699.6
bih,2016,1731.1
bih,2017,1839.8
bih,2018,1981.2
bih,2019,2075.7
bih,2020,2058.6
bih,2021,2182.9
bih,2022,2510.4
bih,2023,2805.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
