country,year,loner_lop_gruv
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,4461.1
pol,2009,3884.1
pol,2010,4075.1
pol,2011,4240.6
pol,2012,4628
pol,2013,4313
pol,2014,4372.5
pol,2015,3693
pol,2016,3319.6
pol,2017,3648.8
pol,2018,4009.4
pol,2019,4251
pol,2020,4024.8
pol,2021,3966.5
pol,2022,4875.7
pol,2023,6086.7
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,270.7
prt,2009,245.4
prt,2010,244.3
prt,2011,239.9
prt,2012,229.7
prt,2013,214.7
prt,2014,218.6
prt,2015,222.4
prt,2016,215
prt,2017,230.3
prt,2018,255.3
prt,2019,251
prt,2020,253.9
prt,2021,276.2
prt,2022,285.9
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1385.7
rou,2009,1193.5
rou,2010,1152.7
rou,2011,1112.1
rou,2012,1041.9
rou,2013,1064.6
rou,2014,992.7
rou,2015,1023.8
rou,2016,881.4
rou,2017,871.6
rou,2018,854.2
rou,2019,904
rou,2020,891.1
rou,2021,890.6
rou,2022,950.5
rou,2023,1116.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,110.4
svn,2009,105.1
svn,2010,98.5
svn,2011,97.9
svn,2012,98.6
svn,2013,90.6
svn,2014,92.5
svn,2015,82.5
svn,2016,82.8
svn,2017,84.3
svn,2018,88.2
svn,2019,93
svn,2020,88.8
svn,2021,92.8
svn,2022,95.8
svn,2023,107.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,99.3
svk,2009,97
svk,2010,91.4
svk,2011,102
svk,2012,99.9
svk,2013,96.4
svk,2014,98
svk,2015,98.6
svk,2016,99.3
svk,2017,97.5
svk,2018,115.1
svk,2019,113
svk,2020,107.7
svk,2021,108.4
svk,2022,107
svk,2023,116
svk,2024,110.6
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,247
fin,2009,234
fin,2010,240
fin,2011,276
fin,2012,309
fin,2013,303
fin,2014,309
fin,2015,301
fin,2016,318
fin,2017,330
fin,2018,346
fin,2019,369
fin,2020,391
fin,2021,403
fin,2022,435
fin,2023,443
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,394.3
swe,2009,350.4
swe,2010,431.5
swe,2011,512.4
swe,2012,553
swe,2013,577.2
swe,2014,579
swe,2015,546.2
swe,2016,539
swe,2017,567.3
swe,2018,569.6
swe,2019,579.6
swe,2020,639.3
swe,2021,733.6
swe,2022,718.1
swe,2023,712.6
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,6
isl,2009,3.3
isl,2010,3.5
isl,2011,4.5
isl,2012,5.1
isl,2013,5.5
isl,2014,6.4
isl,2015,7.4
isl,2016,10.3
isl,2017,12.7
isl,2018,14.6
isl,2019,10.6
isl,2020,10
isl,2021,11.4
isl,2022,13.7
isl,2023,14.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,5732.1
nor,2009,6229.6
nor,2010,7098.9
nor,2011,8260.3
nor,2012,9763.2
nor,2013,10463.4
nor,2014,10170.6
nor,2015,8983.4
nor,2016,7794.2
nor,2017,7426.1
nor,2018,7585.8
nor,2019,8155.7
nor,2020,7734
nor,2021,8462.9
nor,2022,9335.1
nor,2023,9161
nor,2024,9613.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
