country,year,foradl_fast_basmet
fin,2015,927.3
fin,2016,1137.6
fin,2017,1374.6
fin,2018,1273.9
fin,2019,1324.9
fin,2020,1313
fin,2021,530.3
fin,2022,564.7
fin,2023,727.6
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4741.6
swe,2009,831.5
swe,2010,3022.4
swe,2011,3062.9
swe,2012,3033.3
swe,2013,3361.5
swe,2014,3421.4
swe,2015,3226.4
swe,2016,3651.1
swe,2017,3283.5
swe,2018,3840.6
swe,2019,3745.4
swe,2020,3834.7
swe,2021,3468.6
swe,2022,3018.8
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,178.3
isl,2009,196.8
isl,2010,200.9
isl,2011,200.7
isl,2012,199.5
isl,2013,206.9
isl,2014,207.5
isl,2015,213.4
isl,2016,212.7
isl,2017,223.4
isl,2018,229
isl,2019,214.2
isl,2020,213
isl,2021,220.7
isl,2022,217.4
isl,2023,221.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1895.9
nor,2009,1243.7
nor,2010,1368.6
nor,2011,1314
nor,2012,1232
nor,2013,1165.5
nor,2014,1273.9
nor,2015,1189.4
nor,2016,1123.9
nor,2017,1149.9
nor,2018,1155.9
nor,2019,988.7
nor,2020,1235.2
nor,2021,1127.7
nor,2022,1133.8
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
