country,year,foradl_fast_gummi
pol,2022,14411.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,3077.3
prt,2009,2779.4
prt,2010,2865.1
prt,2011,2908.7
prt,2012,2712.5
prt,2013,2642.7
prt,2014,2736.3
prt,2015,2812.3
prt,2016,2873.9
prt,2017,3081.7
prt,2018,3223.5
prt,2019,3278
prt,2020,3143.9
prt,2021,3394.3
prt,2022,3474.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2474.6
rou,2009,1992.9
rou,2010,1567.1
rou,2011,1696.3
rou,2012,2437.5
rou,2013,2554.6
rou,2014,2579.7
rou,2015,2896
rou,2016,3067.8
rou,2017,3328.7
rou,2018,3487
rou,2019,3580.8
rou,2020,2843
rou,2021,4165.5
rou,2022,3692.8
rou,2023,3556
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1194.6
svn,2009,938.3
svn,2010,1037.3
svn,2011,974
svn,2012,870.4
svn,2013,890.1
svn,2014,945.7
svn,2015,959.1
svn,2016,1002.3
svn,2017,1127
svn,2018,1112.7
svn,2019,1139.1
svn,2020,1057.6
svn,2021,1294.3
svn,2022,1264.6
svn,2023,1198.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,916.6
svk,2009,762.7
svk,2010,848.5
svk,2011,1007.7
svk,2012,1071.9
svk,2013,1169.9
svk,2014,1429.1
svk,2015,1607.3
svk,2016,1849.4
svk,2017,2087.3
svk,2018,2154
svk,2019,2484.7
svk,2020,1974.5
svk,2021,1824.2
svk,2022,1846.6
svk,2023,1759.6
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2863.7
fin,2009,2117
fin,2010,2310.4
fin,2011,2604.1
fin,2012,2471.7
fin,2013,2212.1
fin,2014,2157.3
fin,2015,2106.6
fin,2016,2097.3
fin,2017,2226.6
fin,2018,2285.6
fin,2019,2257.6
fin,2020,2178
fin,2021,2239
fin,2022,2060.1
fin,2023,1887.4
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3614.1
swe,2009,2667.7
swe,2010,3288.1
swe,2011,3681.9
swe,2012,3447
swe,2013,3035.9
swe,2014,3077.5
swe,2015,3061.9
swe,2016,2980.6
swe,2017,3332.2
swe,2018,3324.4
swe,2019,3432.2
swe,2020,3295.1
swe,2021,3472.7
swe,2022,3263.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,200.8
isl,2009,107.2
isl,2010,84.7
isl,2011,84.3
isl,2012,87.8
isl,2013,91.7
isl,2014,104.5
isl,2015,116
isl,2016,121.4
isl,2017,133.7
isl,2018,135.7
isl,2019,115.5
isl,2020,105.1
isl,2021,118.1
isl,2022,133.3
isl,2023,134.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1423.3
nor,2009,1088.7
nor,2010,1119.1
nor,2011,1292.3
nor,2012,1317.5
nor,2013,1360.5
nor,2014,1427.3
nor,2015,1390.7
nor,2016,1405.3
nor,2017,1517.8
nor,2018,1611.1
nor,2019,1537.3
nor,2020,1489.5
nor,2021,1268.7
nor,2022,1406.5
nor,2023,1245.7
nor,2024,1139.6
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,6923.9
che,2009,5866.5
che,2010,6097.5
che,2011,6228.2
che,2012,5991.9
che,2013,6042.1
che,2014,6061.5
che,2015,5501.4
che,2016,5463.3
che,2017,5436.8
che,2018,5388.8
che,2019,5304.6
che,2020,5115.6
che,2021,5390.1
che,2022,5296.4
che,2023,4613.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,88.1
mkd,2009,67.9
mkd,2010,100.3
mkd,2011,138
mkd,2012,113.7
mkd,2013,133.4
mkd,2014,121.5
mkd,2015,121.4
mkd,2016,122.3
mkd,2017,124.6
mkd,2018,125
mkd,2019,126.6
mkd,2020,134.8
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,700.1
srb,2009,603.4
srb,2010,613.9
srb,2011,629.4
srb,2012,684.7
srb,2013,644.4
srb,2014,653.1
srb,2015,702.3
srb,2016,759.1
srb,2017,822.3
srb,2018,844.8
srb,2019,873
srb,2020,833.5
srb,2021,895
srb,2022,861.4
srb,2023,827.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
