country,year,foradl_lop_basmet
swe,2010,2618.7
swe,2011,2772.8
swe,2012,2759.6
swe,2013,3031.6
swe,2014,3063.4
swe,2015,2960.5
swe,2016,3086
swe,2017,2849
swe,2018,3444.6
swe,2019,3404.3
swe,2020,3834.7
swe,2021,3716.4
swe,2022,3936.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,301.7
isl,2009,202.3
isl,2010,444.8
isl,2011,425.8
isl,2012,289.7
isl,2013,282.8
isl,2014,350.5
isl,2015,350.3
isl,2016,260.9
isl,2017,387.1
isl,2018,241.9
isl,2019,101.7
isl,2020,213
isl,2021,538.9
isl,2022,725.2
isl,2023,690.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2019.7
nor,2009,766.4
nor,2010,1258.3
nor,2011,1310.1
nor,2012,1268.7
nor,2013,1020.4
nor,2014,1286.3
nor,2015,1347.9
nor,2016,1172.6
nor,2017,1526.2
nor,2018,1410.1
nor,2019,1080.8
nor,2020,1235.2
nor,2021,1429.4
nor,2022,2647.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1748
che,2009,991.7
che,2010,1283.1
che,2011,1527.4
che,2012,1384.8
che,2013,1317.7
che,2014,1349.3
che,2015,1415.4
che,2016,1387.8
che,2017,1411.3
che,2018,1409.5
che,2019,1351.3
che,2020,1285.3
che,2021,1415.5
che,2022,1713.9
che,2023,1467.3
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,5505.6
gbr,2009,3354.9
gbr,2010,4264.2
gbr,2011,4506.4
gbr,2012,4373.1
gbr,2013,4176.6
gbr,2014,5289.5
gbr,2015,6005.5
gbr,2016,4939.7
gbr,2017,4565
gbr,2018,4550.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,145.2
bih,2009,53.7
bih,2010,133.6
bih,2011,153.6
bih,2012,116.6
bih,2013,114.1
bih,2014,86.7
bih,2015,115.9
bih,2016,119.9
bih,2017,131.2
bih,2018,130.3
bih,2019,106.4
bih,2020,94.1
bih,2021,279.8
bih,2022,281
bih,2023,102.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
