country,year,loner_lop_vetenskap
aut,2005,
aut,2006,
aut,2007,
aut,2008,626.9
aut,2009,628.6
aut,2010,667.2
aut,2011,729.4
aut,2012,757.1
aut,2013,871.5
aut,2014,889.9
aut,2015,907.4
aut,2016,979.4
aut,2017,1047.6
aut,2018,1021.8
aut,2019,1090.6
aut,2020,1088.5
aut,2021,1347.3
aut,2022,1530.6
aut,2023,1668.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1024.5
pol,2009,845.3
pol,2010,996.6
pol,2011,999.9
pol,2012,1083.2
pol,2013,1141.4
pol,2014,1126.6
pol,2015,1141.2
pol,2016,1155.6
pol,2017,1363.9
pol,2018,1526.9
pol,2019,1638.4
pol,2020,1763.9
pol,2021,1952.2
pol,2022,2259.2
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,216.3
prt,2009,221.7
prt,2010,221.8
prt,2011,212.5
prt,2012,213
prt,2013,220.8
prt,2014,250.5
prt,2015,252.6
prt,2016,261.3
prt,2017,266.8
prt,2018,306.5
prt,2019,342.6
prt,2020,373.9
prt,2021,427.7
prt,2022,480.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,342.4
rou,2009,220.8
rou,2010,238.7
rou,2011,241.6
rou,2012,236.2
rou,2013,287.1
rou,2014,300.2
rou,2015,308.4
rou,2016,318.5
rou,2017,327.5
rou,2018,375.4
rou,2019,399.6
rou,2020,461
rou,2021,500.4
rou,2022,567.1
rou,2023,644.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,147.3
svn,2009,156.3
svn,2010,168.2
svn,2011,186.9
svn,2012,199
svn,2013,199.4
svn,2014,196
svn,2015,183.8
svn,2016,186.9
svn,2017,199.1
svn,2018,221
svn,2019,248.5
svn,2020,262.3
svn,2021,289
svn,2022,316.2
svn,2023,350.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,119.3
svk,2009,106.9
svk,2010,105.8
svk,2011,103.3
svk,2012,97.3
svk,2013,109.1
svk,2014,109.9
svk,2015,115.3
svk,2016,116.8
svk,2017,127.7
svk,2018,137.2
svk,2019,149.8
svk,2020,161.6
svk,2021,170
svk,2022,186.1
svk,2023,212.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,788
fin,2009,838
fin,2010,862
fin,2011,909
fin,2012,940
fin,2013,952
fin,2014,923
fin,2015,902
fin,2016,862
fin,2017,860
fin,2018,925
fin,2019,1022
fin,2020,1043
fin,2021,1166
fin,2022,1219
fin,2023,1354
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,
swe,2009,
swe,2010,
swe,2011,
swe,2012,
swe,2013,
swe,2014,
swe,2015,
swe,2016,
swe,2017,
swe,2018,
swe,2019,
swe,2020,
swe,2021,
swe,2022,
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,33
isl,2009,24.2
isl,2010,27.6
isl,2011,26.9
isl,2012,29.8
isl,2013,31.8
isl,2014,37.6
isl,2015,41.1
isl,2016,46.6
isl,2017,73.1
isl,2018,74.1
isl,2019,61.5
isl,2020,54.4
isl,2021,61.4
isl,2022,69.2
isl,2023,67.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,787.1
nor,2009,785.3
nor,2010,869.4
nor,2011,921.5
nor,2012,1035
nor,2013,1030.7
nor,2014,1016.6
nor,2015,1010.2
nor,2016,940.6
nor,2017,999.7
nor,2018,1014.3
nor,2019,1039.7
nor,2020,997.1
nor,2021,1132.3
nor,2022,1274.8
nor,2023,1247.3
nor,2024,1305.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,1999.9
che,2012,2154.9
che,2013,1845.1
che,2014,2014.4
che,2015,2358.8
che,2016,2438
che,2017,3273
