country,year,foradl_fast_finans_ej_forsakring
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,8309.3
pol,2009,7890.8
pol,2010,8930.9
pol,2011,9081.3
pol,2012,8306.8
pol,2013,9131.2
pol,2014,10331.1
pol,2015,12144
pol,2016,12301.6
pol,2017,13295.3
pol,2018,15401.1
pol,2019,17219.9
pol,2020,14551
pol,2021,13455.8
pol,2022,20981.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,9234.6
prt,2009,9235.1
prt,2010,9085.5
prt,2011,8884.5
prt,2012,8391.8
prt,2013,7751
prt,2014,6800.9
prt,2015,6537.7
prt,2016,6382.9
prt,2017,6368.4
prt,2018,6510.6
prt,2019,6698.5
prt,2020,6723.5
prt,2021,7207.8
prt,2022,7304.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2145.4
rou,2009,2027.3
rou,2010,3048.8
rou,2011,3696.7
rou,2012,4039.7
rou,2013,4345.7
rou,2014,4090.2
rou,2015,3960.7
rou,2016,4567.8
rou,2017,3695.8
rou,2018,3674
rou,2019,3905.3
rou,2020,5285.9
rou,2021,5203.3
rou,2022,5122.9
rou,2023,5054.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1233.3
svn,2009,1285.3
svn,2010,1274.1
svn,2011,1199.5
svn,2012,1043.4
svn,2013,1006.8
svn,2014,1007.5
svn,2015,965.9
svn,2016,955.1
svn,2017,931.9
svn,2018,954.9
svn,2019,997.2
svn,2020,994.1
svn,2021,1149.4
svn,2022,1122.7
svn,2023,1032.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,837.4
svk,2009,1218.5
svk,2010,1401.2
svk,2011,1370.7
svk,2012,1503.5
svk,2013,1662.5
svk,2014,1822.1
svk,2015,1982.8
svk,2016,1945.8
svk,2017,1695.5
svk,2018,1843.7
svk,2019,1958.2
svk,2020,1721.5
svk,2021,1928.1
svk,2022,1515.4
svk,2023,1483.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,3513.2
fin,2009,3409.9
fin,2010,3623.9
fin,2011,3496.4
fin,2012,3433.1
fin,2013,3089.5
fin,2014,3426.8
fin,2015,3549.1
fin,2016,3471.1
fin,2017,4040.3
fin,2018,3846.3
fin,2019,3441.5
fin,2020,3236
fin,2021,3635.5
fin,2022,3954.9
fin,2023,4523
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,7054.7
swe,2009,7407.1
swe,2010,7645.4
swe,2011,8068.8
swe,2012,8207.5
swe,2013,8784.4
swe,2014,9188.2
swe,2015,9983.6
swe,2016,10266
swe,2017,10502.4
