country,year,loner_lop_mobel_smyck
mlt,2015,97.2
mlt,2016,101
mlt,2017,110.8
mlt,2018,116.9
mlt,2019,125.8
mlt,2020,118.5
mlt,2021,124.3
mlt,2022,125.8
mlt,2023,138.8
mlt,2024,165.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3288
nld,2009,3249
nld,2010,3211
nld,2011,3268
nld,2012,3351
nld,2013,3293
nld,2014,3344
nld,2015,3437
nld,2016,3609
nld,2017,3844
nld,2018,4069
nld,2019,4252
nld,2020,4273
nld,2021,4374
nld,2022,4659
nld,2023,4966
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2397.7
aut,2009,2384.1
aut,2010,2674.4
aut,2011,2755.8
aut,2012,2843.3
aut,2013,2879.6
aut,2014,2898.5
aut,2015,2908.6
aut,2016,2980.5
aut,2017,3102.5
aut,2018,3224.5
aut,2019,3362.3
aut,2020,3341.9
aut,2021,3453.6
aut,2022,3661.2
aut,2023,3927.1
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3330.5
pol,2009,2631.5
pol,2010,2970.9
pol,2011,3059.7
pol,2012,3186.6
pol,2013,3398.9
pol,2014,3771.7
pol,2015,4092.9
pol,2016,4198.1
pol,2017,4720.2
pol,2018,5169.3
pol,2019,5622.7
pol,2020,5566.1
pol,2021,5935.6
pol,2022,6381
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1111.8
prt,2009,1071.9
prt,2010,1101.2
prt,2011,1094.9
prt,2012,1029.3
prt,2013,991.5
prt,2014,1041.9
prt,2015,1103.5
prt,2016,1159.4
prt,2017,1258
prt,2018,1397.9
prt,2019,1467.9
prt,2020,1439.3
prt,2021,1574.6
prt,2022,1704
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1040.3
rou,2009,623.9
rou,2010,983.6
rou,2011,960.9
rou,2012,932
rou,2013,1016.1
rou,2014,1049.1
rou,2015,1123.5
rou,2016,1285.2
rou,2017,1469.5
rou,2018,1512.1
rou,2019,1562
rou,2020,1492.3
rou,2021,1535.9
rou,2022,1698.3
rou,2023,1999
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,342.3
svn,2009,308.7
svn,2010,320.1
svn,2011,343.5
svn,2012,366.8
svn,2013,370.9
svn,2014,390.5
svn,2015,422.8
svn,2016,453.9
svn,2017,484.3
svn,2018,537.6
svn,2019,569.8
svn,2020,547
svn,2021,565.2
svn,2022,616.4
svn,2023,686.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,521.7
svk,2009,489.1
svk,2010,508.8
svk,2011,522.9
svk,2012,551
svk,2013,549.6
svk,2014,564.1
svk,2015,602.9
svk,2016,612.4
svk,2017,631.2
svk,2018,672.7
svk,2019,693.8
svk,2020,661.9
svk,2021,709.1
svk,2022,761.9
svk,2023,818.3
svk,2024,
fin,2000,
fin,2001,
