country,year,foradl_lop_annan_jur
nld,2019,3938
nld,2020,4158
nld,2021,4773
nld,2022,5308
nld,2023,5808
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,627.2
aut,2009,627.7
aut,2010,630
aut,2011,682.9
aut,2012,722.3
aut,2013,710.1
aut,2014,711.7
aut,2015,784.3
aut,2016,848.8
aut,2017,887.5
aut,2018,967.1
aut,2019,1099
aut,2020,1011.4
aut,2021,1108.8
aut,2022,1223.3
aut,2023,1347.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2278.7
pol,2009,1567.2
pol,2010,1207.1
pol,2011,1513.9
pol,2012,1461.8
pol,2013,1842.5
pol,2014,1619.4
pol,2015,1924.2
pol,2016,2001.7
pol,2017,2254.2
pol,2018,2503.3
pol,2019,2842.5
pol,2020,2495.6
pol,2021,2903
pol,2022,3040.5
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,373
prt,2009,344.2
prt,2010,348.3
prt,2011,344.8
prt,2012,328.7
prt,2013,360.7
prt,2014,402.4
prt,2015,461.8
prt,2016,542.8
prt,2017,625.1
prt,2018,724
prt,2019,863.5
prt,2020,884.3
prt,2021,943.5
prt,2022,1104.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,367.8
rou,2009,53.2
rou,2010,108.6
rou,2011,290
rou,2012,407.8
rou,2013,857.2
rou,2014,789.4
rou,2015,883.3
rou,2016,960.4
rou,2017,1453.9
rou,2018,1326.6
rou,2019,1678
rou,2020,1431.2
rou,2021,1379
rou,2022,1953.4
rou,2023,2355.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,440.8
svn,2009,412.2
svn,2010,396.5
svn,2011,390.2
svn,2012,381.1
svn,2013,378.1
svn,2014,383.7
svn,2015,367.4
svn,2016,387.4
svn,2017,415.6
svn,2018,443.1
svn,2019,468.6
svn,2020,420.7
svn,2021,490.9
svn,2022,557.7
svn,2023,619.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,338.4
svk,2009,291.4
svk,2010,302.7
svk,2011,260
svk,2012,352.1
svk,2013,347.2
svk,2014,517.4
svk,2015,520
svk,2016,569.3
svk,2017,427.4
svk,2018,457
svk,2019,454.2
svk,2020,394.2
svk,2021,573.4
svk,2022,522.6
svk,2023,587.8
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,558
fin,2009,547
fin,2010,554
fin,2011,592
fin,2012,605
fin,2013,644
fin,2014,641
fin,2015,662
fin,2016,665
fin,2017,718
fin,2018,792
fin,2019,822
fin,2020,778
fin,2021,828
fin,2022,942
fin,2023,957
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1377.8
swe,2009,1240.8
swe,2010,1512.9
swe,2011,1740
swe,2012,1787.9
swe,2013,2064.5
swe,2014,2168.2
swe,2015,2322.8
swe,2016,2675.1
swe,2017,2809.2
swe,2018,2685
swe,2019,2771.5
swe,2020,2954.5
swe,2021,3328.3
swe,2022,3555.6
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,21.1
isl,2009,20.4
isl,2010,23.4
isl,2011,26.3
isl,2012,28.9
isl,2013,33.8
isl,2014,40.9
isl,2015,42.9
isl,2016,51.9
isl,2017,59.5
isl,2018,77.6
isl,2019,71.9
isl,2020,75
isl,2021,108.6
isl,2022,121.2
isl,2023,119.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,911.1
nor,2009,698
nor,2010,814.8
nor,2011,864.4
nor,2012,950.5
nor,2013,1000.8
nor,2014,987.3
nor,2015,952.8
nor,2016,955.1
nor,2017,992.9
nor,2018,1061.9
