country,year,foradl_lop_prod_film
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2264.5
pol,2009,1622.1
pol,2010,1569.8
pol,2011,1672.3
pol,2012,1626.6
pol,2013,1816.6
pol,2014,1885.9
pol,2015,2119.7
pol,2016,2077.8
pol,2017,1916.1
pol,2018,2039.7
pol,2019,2080.5
pol,2020,1712.8
pol,2021,2730.4
pol,2022,2821.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,591.1
prt,2009,605.7
prt,2010,590.2
prt,2011,589.1
prt,2012,512.9
prt,2013,527.4
prt,2014,546.9
prt,2015,560.2
prt,2016,585.6
prt,2017,637.4
prt,2018,692.2
prt,2019,713.5
prt,2020,647.4
prt,2021,692.4
prt,2022,688.9
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,530.4
rou,2009,423.5
rou,2010,234.5
rou,2011,209
rou,2012,424.8
rou,2013,544.4
rou,2014,525.3
rou,2015,676.3
rou,2016,732.9
rou,2017,752.5
rou,2018,912.5
rou,2019,1361.7
rou,2020,793.1
rou,2021,857.9
rou,2022,1035.9
rou,2023,1134
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,138.3
svn,2009,129.6
svn,2010,132.1
svn,2011,132.2
svn,2012,146.2
svn,2013,117.3
svn,2014,118.7
svn,2015,116.5
svn,2016,120.9
svn,2017,140.7
svn,2018,162.1
svn,2019,172.9
svn,2020,159.9
svn,2021,190.8
svn,2022,204.5
svn,2023,223.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,254.6
svk,2009,276.4
svk,2010,288.7
svk,2011,229.5
svk,2012,299
svk,2013,237.8
svk,2014,270
svk,2015,315.3
svk,2016,347.3
svk,2017,369.5
svk,2018,314.2
svk,2019,281.9
svk,2020,250.5
svk,2021,291.8
svk,2022,335.1
svk,2023,399.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,779
fin,2009,794
fin,2010,847
fin,2011,853
fin,2012,823
fin,2013,814
fin,2014,874
fin,2015,911
fin,2016,906
fin,2017,950
fin,2018,1010
fin,2019,1020
fin,2020,992
fin,2021,1056
fin,2022,1081
fin,2023,1121
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1433
swe,2009,1322.1
swe,2010,1560.8
swe,2011,1650.2
swe,2012,1756.6
swe,2013,1722
swe,2014,1761.4
swe,2015,1715.6
swe,2016,1737.9
swe,2017,1864.6
swe,2018,1911.3
swe,2019,1972.8
swe,2020,1813.7
swe,2021,2101.4
swe,2022,2232.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
