country,year,loner_lop_jur_konsult_arki
isl,2018,488.2
isl,2019,455.6
isl,2020,385.2
isl,2021,443.1
isl,2022,540.2
isl,2023,568.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,5748.3
nor,2009,5797.3
nor,2010,6573.6
nor,2011,7104.5
nor,2012,8214.9
nor,2013,8535
nor,2014,8377
nor,2015,8032.9
nor,2016,7668.2
nor,2017,7771.7
nor,2018,8160.4
nor,2019,8599.3
nor,2020,7973
nor,2021,9058.9
nor,2022,10082.4
nor,2023,9869.2
nor,2024,10344
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,20233.8
che,2012,21308.2
che,2013,21899.7
che,2014,22871.6
che,2015,26782.3
che,2016,27265
che,2017,27186.9
che,2018,27021.7
che,2019,28583.4
che,2020,30041.2
che,2021,31392.9
che,2022,35696.4
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,56172.5
gbr,2009,48571.2
gbr,2010,52378.1
gbr,2011,53525.8
gbr,2012,59828.3
gbr,2013,62541.5
gbr,2014,68168.5
gbr,2015,79499.6
gbr,2016,72960.9
gbr,2017,71503.5
gbr,2018,74884.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,125.3
bih,2009,132.2
bih,2010,139.7
bih,2011,139.1
bih,2012,143.1
bih,2013,143.6
bih,2014,155.9
bih,2015,159.9
bih,2016,166.4
bih,2017,175.2
bih,2018,180.5
bih,2019,197.4
bih,2020,203.5
bih,2021,223.4
bih,2022,269.3
bih,2023,302.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,39.2
mkd,2009,44.5
mkd,2010,62.9
mkd,2011,71.4
mkd,2012,68.8
mkd,2013,71.7
mkd,2014,93.1
mkd,2015,85.5
mkd,2016,83.2
mkd,2017,92.6
mkd,2018,99.9
mkd,2019,107.3
mkd,2020,114.8
mkd,2021,121.5
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,367.4
srb,2009,377.2
srb,2010,362.6
srb,2011,389.3
srb,2012,413.3
srb,2013,450.5
srb,2014,435.6
srb,2015,483.7
srb,2016,538.6
srb,2017,593.8
srb,2018,670.2
srb,2019,771.8
srb,2020,814.1
srb,2021,938.1
srb,2022,1153.8
srb,2023,1413.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,3450.1
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
