country,year,loner_lop_kreativ
nld,2016,2058
nld,2017,2140
nld,2018,2243
nld,2019,2390
nld,2020,2383
nld,2021,2418
nld,2022,2631
nld,2023,2889
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1005.8
aut,2009,1066.1
aut,2010,1097.1
aut,2011,1101.4
aut,2012,1143.4
aut,2013,1159.4
aut,2014,1172.5
aut,2015,1195.5
aut,2016,1214.5
aut,2017,1256.7
aut,2018,1290.9
aut,2019,1331.7
aut,2020,1256.4
aut,2021,1287.3
aut,2022,1466.2
aut,2023,1589.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1294.1
pol,2009,1130.2
pol,2010,1309.7
pol,2011,1233.3
pol,2012,1133.4
pol,2013,1180.2
pol,2014,1216.5
pol,2015,1280.8
pol,2016,1300.4
pol,2017,1407.6
pol,2018,1549.5
pol,2019,1657.7
pol,2020,1639.2
pol,2021,1681.2
pol,2022,1909.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,285.5
prt,2009,290.3
prt,2010,294.4
prt,2011,282.7
prt,2012,279.5
prt,2013,280
prt,2014,303
prt,2015,314.5
prt,2016,340.9
prt,2017,355.3
prt,2018,380.3
prt,2019,409.8
prt,2020,415.5
prt,2021,433.1
prt,2022,494.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,184.6
rou,2009,225.1
rou,2010,409.5
rou,2011,370.4
rou,2012,327.7
rou,2013,394.3
rou,2014,473.6
rou,2015,544.6
rou,2016,585.5
rou,2017,744.7
rou,2018,837.7
rou,2019,975.1
rou,2020,914.7
rou,2021,935.9
rou,2022,1043.2
rou,2023,1180.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,252.2
svn,2009,261.2
svn,2010,265.8
svn,2011,247.9
svn,2012,239
svn,2013,222.7
svn,2014,213.7
svn,2015,216.2
svn,2016,227.6
svn,2017,238.2
svn,2018,247.8
svn,2019,264.5
svn,2020,250.8
svn,2021,260.9
svn,2022,287.7
svn,2023,316.3
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,161
svk,2009,183.7
svk,2010,183
svk,2011,187.1
svk,2012,192.6
svk,2013,202
svk,2014,226.2
svk,2015,247.7
svk,2016,245.8
svk,2017,269.9
svk,2018,287.7
svk,2019,317
svk,2020,309.7
svk,2021,307.6
svk,2022,373.4
svk,2023,413.7
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,667
fin,2009,687
fin,2010,730
fin,2011,777
fin,2012,800
fin,2013,803
fin,2014,810
fin,2015,832
fin,2016,852
fin,2017,859
fin,2018,873
fin,2019,930
fin,2020,818
fin,2021,855
fin,2022,974
fin,2023,1051
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1217.4
swe,2009,1083.3
swe,2010,1211.2
swe,2011,1343
swe,2012,1476.8
swe,2013,1561.8
swe,2014,1517
swe,2015,1490.6
swe,2016,1525.7
swe,2017,1546.5
swe,2018,1574.1
swe,2019,1572.9
swe,2020,1534.7
swe,2021,1665.2
swe,2022,1760.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,29.6
isl,2009,24.9
isl,2010,27.6
isl,2011,28.5
isl,2012,30.5
isl,2013,33.4
isl,2014,40.9
isl,2015,48.4
isl,2016,59.5
isl,2017,72.6
isl,2018,73.2
isl,2019,75
isl,2020,65
isl,2021,83.4
isl,2022,92.3
isl,2023,95.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1189.1
nor,2009,1199.4
nor,2010,1374.1
nor,2011,1450.6
nor,2012,1553
nor,2013,1450.3
nor,2014,1419.5
nor,2015,1363.2
nor,2016,1036.4
nor,2017,1060.7
nor,2018,1066.6
nor,2019,1088.9
nor,2020,945.7
nor,2021,1094.1
nor,2022,1273.2
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,976.1
che,2012,1012.9
che,2013,1011.6
che,2014,1029.3
che,2015,1201.1
che,2016,1206.6
che,2017,1208.4
che,2018,1180.9
che,2019,1254.7
che,2020,1151.5
che,2021,1226.9
che,2022,1507.1
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6920.9
gbr,2009,6337.1
gbr,2010,6778.7
gbr,2011,6581.6
gbr,2012,7509.2
gbr,2013,7747.9
gbr,2014,7956.6
gbr,2015,8901.4
gbr,2016,8049
gbr,2017,8428.5
gbr,2018,8902.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,45.4
bih,2009,51.6
bih,2010,52.1
bih,2011,55.6
bih,2012,58.3
bih,2013,62.2
bih,2014,72
bih,2015,80.1
bih,2016,86.2
bih,2017,89.7
bih,2018,88
bih,2019,92.4
bih,2020,90.5
bih,2021,100.3
bih,2022,127.4
bih,2023,151.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,22.7
mkd,2009,29.1
mkd,2010,34.1
mkd,2011,42.4
mkd,2012,39
mkd,2013,39.6
mkd,2014,47
mkd,2015,51.8
mkd,2016,62.1
mkd,2017,58.9
mkd,2018,64.4
mkd,2019,73
mkd,2020,80.7
mkd,2021,88
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,91.1
srb,2009,94.3
srb,2010,87
srb,2011,92.6
srb,2012,88.9
srb,2013,93
srb,2014,89.5
srb,2015,123.3
srb,2016,132
srb,2017,145.9
srb,2018,169.6
srb,2019,176.4
srb,2020,172.1
srb,2021,210.1
srb,2022,263.4
srb,2023,306.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,648.3
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
