country,year,foradl_lop_rese
svk,2011,267.3
svk,2012,243.1
svk,2013,276.4
svk,2014,290.3
svk,2015,237
svk,2016,237.5
svk,2017,279.3
svk,2018,276
svk,2019,146.2
svk,2020,97.9
svk,2021,79.2
svk,2022,158.1
svk,2023,198.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,259
fin,2009,222
fin,2010,229
fin,2011,212
fin,2012,223
fin,2013,220
fin,2014,171
fin,2015,213
fin,2016,230
fin,2017,245
fin,2018,263
fin,2019,254
fin,2020,122
fin,2021,51
fin,2022,169
fin,2023,246
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,741
swe,2009,604.9
swe,2010,752.2
swe,2011,810.6
swe,2012,818.8
swe,2013,898.6
swe,2014,793.8
swe,2015,705.8
swe,2016,678.3
swe,2017,829.5
swe,2018,769.7
swe,2019,649.1
swe,2020,187.2
swe,2021,110.2
swe,2022,468.1
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,33.6
isl,2009,43.2
isl,2010,41.6
isl,2011,49.1
isl,2012,51.9
isl,2013,62.5
isl,2014,120.5
isl,2015,164.5
isl,2016,232.1
isl,2017,259.7
isl,2018,284.8
isl,2019,285.1
isl,2020,53.8
isl,2021,118.8
isl,2022,219
isl,2023,257.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,374.8
nor,2009,328.9
nor,2010,392
nor,2011,429.1
nor,2012,467
nor,2013,432.4
nor,2014,403.5
nor,2015,376.6
nor,2016,395.9
nor,2017,377.8
nor,2018,362.3
nor,2019,349.9
nor,2020,125.2
nor,2021,127.9
nor,2022,352
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,527.8
che,2009,561.8
che,2010,635
che,2011,704.8
che,2012,730.8
che,2013,744.6
che,2014,823
che,2015,1100.9
che,2016,1148.9
che,2017,1187.6
che,2018,1263.3
che,2019,1391.7
che,2020,-172.9
che,2021,-173.7
che,2022,139.3
che,2023,593.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6181.2
gbr,2009,5539.1
gbr,2010,6078.1
gbr,2011,6506.7
gbr,2012,8076.5
gbr,2013,8197.7
gbr,2014,10492.2
gbr,2015,12833.4
gbr,2016,12438.4
gbr,2017,11508.3
gbr,2018,11670.5
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,8.5
bih,2009,8.1
bih,2010,9.4
bih,2011,7.3
bih,2012,8
bih,2013,8.1
bih,2014,8.4
bih,2015,7
bih,2016,8.3
bih,2017,8.1
bih,2018,9.1
bih,2019,12
bih,2020,5
bih,2021,5.7
bih,2022,15.9
