country,year,foradl_lop_rep_dator_pers
aut,2015,180.1
aut,2016,182.9
aut,2017,164.3
aut,2018,182.8
aut,2019,161.2
aut,2020,148.4
aut,2021,151.2
aut,2022,167.3
aut,2023,183.6
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,819.2
pol,2009,738.7
pol,2010,449.6
pol,2011,439.3
pol,2012,740.3
pol,2013,891.2
pol,2014,704.5
pol,2015,1210.8
pol,2016,642.4
pol,2017,1186.3
pol,2018,1178.7
pol,2019,1247.4
pol,2020,1166.3
pol,2021,514.5
pol,2022,775.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,174
prt,2009,175.9
prt,2010,181.9
prt,2011,182
prt,2012,185.6
prt,2013,191.2
prt,2014,209.6
prt,2015,209.9
prt,2016,197.2
prt,2017,230.2
prt,2018,226.2
prt,2019,223.2
prt,2020,204.8
prt,2021,240.7
prt,2022,260.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,180.4
rou,2009,130.3
rou,2010,216.3
rou,2011,362
rou,2012,330
rou,2013,352.7
rou,2014,365.1
rou,2015,421.4
rou,2016,366.5
rou,2017,401.4
rou,2018,502.1
rou,2019,355.2
rou,2020,442.4
rou,2021,468.9
rou,2022,491.6
rou,2023,697.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,34.6
svn,2009,32.9
svn,2010,30.1
svn,2011,31.2
svn,2012,30.3
svn,2013,28.8
svn,2014,29.5
svn,2015,33.5
svn,2016,35.8
svn,2017,37.2
svn,2018,38.5
svn,2019,42.5
svn,2020,37.9
svn,2021,41.4
svn,2022,47.7
svn,2023,51.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,208.3
svk,2009,117.6
svk,2010,94.8
svk,2011,105.5
svk,2012,88.6
svk,2013,106.6
svk,2014,87.5
svk,2015,102.9
svk,2016,113.1
svk,2017,99.7
svk,2018,111.6
svk,2019,89.9
svk,2020,83
svk,2021,97.9
svk,2022,113.7
svk,2023,119.7
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,219
fin,2009,209
fin,2010,212
fin,2011,211
fin,2012,230
fin,2013,214
fin,2014,210
fin,2015,195
fin,2016,196
fin,2017,193
fin,2018,195
fin,2019,204
fin,2020,200
fin,2021,220
fin,2022,235
fin,2023,232
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
