country,year,loner_lop_prod_film
rou,2019,299.9
rou,2020,271.4
rou,2021,276
rou,2022,317.6
rou,2023,372.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,91.9
svn,2009,100.1
svn,2010,96.2
svn,2011,95.5
svn,2012,103.8
svn,2013,93.7
svn,2014,89.6
svn,2015,86.2
svn,2016,94.6
svn,2017,97.5
svn,2018,105.2
svn,2019,119.5
svn,2020,124.7
svn,2021,134.7
svn,2022,139.2
svn,2023,152.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,57.3
svk,2009,66
svk,2010,71.5
svk,2011,72.3
svk,2012,57.3
svk,2013,58
svk,2014,59.4
svk,2015,64.2
svk,2016,69.1
svk,2017,71
svk,2018,72.9
svk,2019,76.6
svk,2020,72.6
svk,2021,76.9
svk,2022,86
svk,2023,104.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,456
fin,2009,452
fin,2010,451
fin,2011,459
fin,2012,476
fin,2013,483
fin,2014,493
fin,2015,481
fin,2016,467
fin,2017,471
fin,2018,502
fin,2019,506
fin,2020,491
fin,2021,530
fin,2022,530
fin,2023,559
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,707.7
swe,2009,646.1
swe,2010,734.6
swe,2011,838.8
swe,2012,942.1
swe,2013,983.3
swe,2014,973.6
swe,2015,972.5
swe,2016,1005.4
swe,2017,1033.6
swe,2018,999.2
swe,2019,1027.2
swe,2020,1066.9
swe,2021,1259.6
swe,2022,1277.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,50.5
isl,2009,39.5
isl,2010,45
isl,2011,37.6
isl,2012,38.7
isl,2013,39.1
isl,2014,46.1
isl,2015,42.1
isl,2016,49.6
isl,2017,55.9
isl,2018,36.4
isl,2019,31.1
isl,2020,25.8
isl,2021,34.9
isl,2022,43.3
isl,2023,46.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,535.8
nor,2009,528.5
nor,2010,553.2
nor,2011,614.1
nor,2012,685.3
nor,2013,733.6
nor,2014,695.8
nor,2015,757.5
nor,2016,758.3
nor,2017,765.5
nor,2018,764.2
nor,2019,776.9
nor,2020,420
nor,2021,496
nor,2022,560.9
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,1043.5
che,2012,1104.4
che,2013,1089
che,2014,1111
che,2015,1283.3
che,2016,1243.6
che,2017,1212.1
che,2018,1242
che,2019,1285.8
che,2020,1204.2
che,2021,1232.1
che,2022,1429.2
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,8093.9
gbr,2009,6854.6
gbr,2010,6799.6
gbr,2011,7229.1
