country,year,foradl_lop_finans_ej_forsakring
rou,2007,
rou,2008,1425
rou,2009,1301
rou,2010,2316.6
rou,2011,2807.2
rou,2012,3081.2
rou,2013,3793.6
rou,2014,3851
rou,2015,3872.9
rou,2016,4388.6
rou,2017,3504.3
rou,2018,3827.4
rou,2019,4143.9
rou,2020,5285.9
rou,2021,5567.7
rou,2022,6169.3
rou,2023,6737.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1209.8
svn,2009,1268.4
svn,2010,1214.5
svn,2011,1096.6
svn,2012,783.9
svn,2013,699.4
svn,2014,843
svn,2015,868.2
svn,2016,856.5
svn,2017,870.8
svn,2018,917.1
svn,2019,985.5
svn,2020,994.1
svn,2021,1194.4
svn,2022,1282.7
svn,2023,1916.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,895.1
svk,2009,1380.4
svk,2010,1597
svk,2011,1645.4
svk,2012,1767.7
svk,2013,1767.1
svk,2014,1828.3
svk,2015,1870.7
svk,2016,1635.7
svk,2017,1484
svk,2018,1817.2
svk,2019,1970.5
svk,2020,1721.5
svk,2021,1989.9
svk,2022,1618.3
svk,2023,2206.8
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,3051
fin,2009,2981
fin,2010,2709
fin,2011,2863
fin,2012,2907
fin,2013,2616
fin,2014,3251
fin,2015,3367
fin,2016,3298
fin,2017,3809
fin,2018,3639
fin,2019,3377
fin,2020,3236
fin,2021,3697
fin,2022,4122
fin,2023,6364
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,6852.6
swe,2009,8283.6
swe,2010,8846
swe,2011,9917.2
swe,2012,11353.7
swe,2013,12138.1
swe,2014,12547.2
swe,2015,13189.5
swe,2016,12079
swe,2017,11413.3
swe,2018,10260.3
swe,2019,9945.8
swe,2020,11882.5
swe,2021,12842.9
swe,2022,13204.8
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,843.6
isl,2009,853
isl,2010,606.7
isl,2011,483.8
isl,2012,668
isl,2013,622.2
isl,2014,736.6
isl,2015,773.9
isl,2016,825.7
isl,2017,967.6
isl,2018,899.2
isl,2019,913.6
isl,2020,798.6
isl,2021,881.4
isl,2022,1098.9
isl,2023,1083.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
