country,year,foradl_lop_ovr_maskin
svk,2018,1511.5
svk,2019,1621
svk,2020,1376.8
svk,2021,1616.4
svk,2022,1493.3
svk,2023,1834.2
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,4719
fin,2009,3972
fin,2010,4285
fin,2011,4648
fin,2012,4622
fin,2013,4340
fin,2014,4406
fin,2015,4701
fin,2016,4669
fin,2017,5085
fin,2018,5492
fin,2019,5660
fin,2020,5413
fin,2021,6202
fin,2022,5953
fin,2023,6908
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,7741.9
swe,2009,4349.2
swe,2010,7408.5
swe,2011,8848.3
swe,2012,8785.2
swe,2013,7276.8
swe,2014,7410.6
swe,2015,8013.9
swe,2016,8099
swe,2017,9217.1
swe,2018,9021.7
swe,2019,8847.7
swe,2020,8204.5
swe,2021,10944
swe,2022,12078.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,49.9
isl,2009,48.4
isl,2010,61.9
isl,2011,65
isl,2012,79.8
isl,2013,71.8
isl,2014,85.4
isl,2015,87
isl,2016,117.5
isl,2017,140.3
isl,2018,161.1
isl,2019,174.7
isl,2020,150.6
isl,2021,135.1
isl,2022,156.9
isl,2023,167.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,925.7
lie,2017,964.4
lie,2018,902.9
lie,2019,1098.1
lie,2020,1073.3
lie,2021,1178
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2810.2
nor,2009,2844.4
nor,2010,2804
nor,2011,3073.5
nor,2012,3429
nor,2013,3327.9
nor,2014,3445.8
nor,2015,2952.5
nor,2016,1923.3
nor,2017,1765.1
nor,2018,1936.3
nor,2019,1959.9
nor,2020,1705.1
nor,2021,1918
nor,2022,1983.4
nor,2023,1861.1
nor,2024,2008.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,8210.1
che,2009,7479.8
che,2010,8890.5
che,2011,10168.2
che,2012,9552
che,2013,9557.8
che,2014,9958.4
che,2015,11101.8
che,2016,10893.2
che,2017,10732.8
che,2018,10706.5
che,2019,10445.7
che,2020,9759.2
che,2021,10917.4
che,2022,12594.4
che,2023,13280.6
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,14641.8
gbr,2009,9579.8
gbr,2010,13713.5
gbr,2011,15034.3
gbr,2012,17225.9
gbr,2013,17980.4
gbr,2014,18819.8
gbr,2015,20499
gbr,2016,17154.8
gbr,2017,17095.4
gbr,2018,18185.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,41.9
bih,2009,37.4
bih,2010,35.7
bih,2011,40.3
bih,2012,41.4
bih,2013,45.8
bih,2014,39.6
bih,2015,38
bih,2016,40.6
bih,2017,58.9
bih,2018,64.3
bih,2019,69.8
