country,year,foradl_lop_farma
pol,2008,1298.9
pol,2009,1180.6
pol,2010,1249.9
pol,2011,1079.5
pol,2012,1158
pol,2013,1183.1
pol,2014,1330.7
pol,2015,1367.1
pol,2016,1297.2
pol,2017,1193.6
pol,2018,1921.4
pol,2019,1438.2
pol,2020,1530.3
pol,2021,1764
pol,2022,1705.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,440.1
prt,2009,468
prt,2010,427.9
prt,2011,428.5
prt,2012,449.1
prt,2013,487.1
prt,2014,454.1
prt,2015,505.2
prt,2016,515.7
prt,2017,590
prt,2018,601.8
prt,2019,618.2
prt,2020,737
prt,2021,772.7
prt,2022,833.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,267
rou,2009,369.3
rou,2010,68.9
rou,2011,345.2
rou,2012,268.9
rou,2013,271.7
rou,2014,341.3
rou,2015,273.2
rou,2016,279.2
rou,2017,360.7
rou,2018,269.4
rou,2019,294.4
rou,2020,332.7
rou,2021,303.3
rou,2022,457.6
rou,2023,683.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,785.7
svn,2009,738.7
svn,2010,781.4
svn,2011,814.1
svn,2012,823.5
svn,2013,892.9
svn,2014,879.7
svn,2015,861.3
svn,2016,785
svn,2017,962.7
svn,2018,1050.9
svn,2019,1239.4
svn,2020,1386.7
svn,2021,1323.6
svn,2022,1446
svn,2023,1572.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,87.5
svk,2009,127.7
svk,2010,139.7
svk,2011,143.9
svk,2012,142.6
svk,2013,22.6
svk,2014,76.1
svk,2015,57.8
svk,2016,81.7
svk,2017,70.7
svk,2018,71.5
svk,2019,74.1
svk,2020,80.2
svk,2021,87.2
svk,2022,93.5
svk,2023,126.7
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,868
fin,2009,918
fin,2010,983
fin,2011,1029
fin,2012,1233
fin,2013,1155
fin,2014,1318
fin,2015,1317
fin,2016,1537
fin,2017,1585
fin,2018,1561
fin,2019,1596
fin,2020,1530
fin,2021,1501
fin,2022,1651
fin,2023,1581
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,
swe,2009,
swe,2010,
swe,2011,
swe,2012,
swe,2013,
swe,2014,
swe,2015,
swe,2016,
swe,2017,
swe,2018,
swe,2019,
swe,2020,
swe,2021,
swe,2022,
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,51.5
isl,2009,34.4
isl,2010,35.1
isl,2011,36.8
isl,2012,32.6
isl,2013,33.8
isl,2014,34.7
isl,2015,27.7
isl,2016,23.8
isl,2017,-39.9
isl,2018,-39
isl,2019,-0.5
isl,2020,-73.2
isl,2021,-125.5
isl,2022,-141.6
isl,2023,-196.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,
nor,2009,
nor,2010,
nor,2011,
nor,2012,
nor,2013,
nor,2014,
nor,2015,
nor,2016,
nor,2017,
nor,2018,
nor,2019,
nor,2020,
nor,2021,
nor,2022,
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
