country,year,foradl_lop_veg
nld,2013,11923
nld,2014,11855
nld,2015,12190
nld,2016,12914
nld,2017,14245
nld,2018,13316
nld,2019,14081
nld,2020,13690
nld,2021,14229
nld,2022,15770
nld,2023,17966
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2875.1
aut,2009,2345.1
aut,2010,2649.8
aut,2011,3110.9
aut,2012,3074
aut,2013,2847.5
aut,2014,2823
aut,2015,2754.1
aut,2016,2895.6
aut,2017,3255.3
aut,2018,3154.3
aut,2019,3085.4
aut,2020,3173
aut,2021,3684.5
aut,2022,4502.9
aut,2023,4400.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,8641
pol,2009,7436.9
pol,2010,8680.8
pol,2011,9963.1
pol,2012,9677.4
pol,2013,10752.6
pol,2014,10006
pol,2015,8740.5
pol,2016,9232.9
pol,2017,12040.4
pol,2018,10558.5
pol,2019,10976.6
pol,2020,11847.2
pol,2021,11165.1
pol,2022,16385.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,2541.4
prt,2009,2512
prt,2010,2497.9
prt,2011,2171.3
prt,2012,2155.2
prt,2013,2426.4
prt,2014,2451.5
prt,2015,2588.7
prt,2016,2590.5
prt,2017,2875.2
prt,2018,2915.3
prt,2019,3218.6
prt,2020,3155.6
prt,2021,3338.1
prt,2022,3088.9
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,8770.6
rou,2009,7241.8
rou,2010,5861.1
rou,2011,7593.9
rou,2012,5667.9
rou,2013,7055.3
rou,2014,6443.1
rou,2015,5913.9
rou,2016,6023.9
rou,2017,7088.3
rou,2018,7639.5
rou,2019,7980.7
rou,2020,6801
rou,2021,9292.4
rou,2022,8718.9
rou,2023,10333.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,446.6
svn,2009,433
svn,2010,448.1
svn,2011,524.1
svn,2012,430.4
svn,2013,423.2
svn,2014,511.3
svn,2015,567.4
svn,2016,533.5
svn,2017,471.7
svn,2018,652.1
svn,2019,583.1
svn,2020,634.4
svn,2021,451.4
svn,2022,627.4
svn,2023,599.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1111.5
svk,2009,827.5
svk,2010,585
svk,2011,808.3
svk,2012,835.6
svk,2013,1004.8
svk,2014,1388.2
svk,2015,1025.8
svk,2016,1077.2
svk,2017,960.9
svk,2018,1219.8
svk,2019,922.7
svk,2020,1002
svk,2021,1201.9
svk,2022,1283.8
svk,2023,1811
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1287
fin,2009,1470
fin,2010,1605
fin,2011,1415
fin,2012,1412
fin,2013,1318
fin,2014,1312
fin,2015,1151
fin,2016,1236
fin,2017,1279
fin,2018,1268
fin,2019,1567
fin,2020,1696
fin,2021,1659
fin,2022,1922
fin,2023,1848
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2485.3
swe,2009,1777.6
swe,2010,2602.8
swe,2011,3028.6
swe,2012,2960.8
swe,2013,2873
swe,2014,2862.2
swe,2015,2912.1
swe,2016,2894.2
swe,2017,3264.9
swe,2018,2915
swe,2019,3072.3
swe,2020,2998.4
swe,2021,3241.5
swe,2022,3689
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,105.9
isl,2009,93.7
isl,2010,96.5
isl,2011,108.7
isl,2012,114.9
isl,2013,129.1
isl,2014,130.2
isl,2015,150
isl,2016,169.9
isl,2017,188.5
isl,2018,191.7
isl,2019,177
isl,2020,164.5
