country,year,foradl_fast_parti_repara
nld,2013,8518.1
nld,2014,8440.5
nld,2015,9219
nld,2016,9337.5
nld,2017,9848
nld,2018,10359.8
nld,2019,10725.2
nld,2020,9915
nld,2021,9965
nld,2022,9932.7
nld,2023,10939.4
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5015.2
aut,2009,4496.2
aut,2010,5076.8
aut,2011,5578
aut,2012,5491.9
aut,2013,5029.2
aut,2014,4859.2
aut,2015,5137.3
aut,2016,5311.8
aut,2017,5365.1
aut,2018,4841.9
aut,2019,4803.6
aut,2020,4500.5
aut,2021,4985.9
aut,2022,4783.3
aut,2023,4812.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,11308.1
pol,2009,12631.3
pol,2010,11100.6
pol,2011,10630.9
pol,2012,11274.1
pol,2013,9994.8
pol,2014,9955
pol,2015,9755.8
pol,2016,10432.1
pol,2017,11117.7
pol,2018,10547.8
pol,2019,11765.7
pol,2020,10597.6
pol,2021,11455.1
pol,2022,11860.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,2498.6
prt,2009,2530.3
prt,2010,2595.9
prt,2011,2108.5
prt,2012,2075.6
prt,2013,2074.8
prt,2014,2137.7
prt,2015,2272.4
prt,2016,2332.8
prt,2017,2419
prt,2018,2506.1
prt,2019,2567.3
prt,2020,2286.2
prt,2021,2409
prt,2022,2474.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,956.5
rou,2009,613.2
rou,2010,1517.9
rou,2011,2583.9
rou,2012,2240.6
rou,2013,1224.4
rou,2014,2418.9
rou,2015,2657.8
rou,2016,2908.4
rou,2017,2887.4
rou,2018,3127.2
rou,2019,3492.2
rou,2020,2609.8
rou,2021,4351.3
rou,2022,5065.8
rou,2023,5517.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,474.7
svn,2009,448
svn,2010,443.9
svn,2011,449.4
svn,2012,444.7
svn,2013,438.8
svn,2014,472
svn,2015,478
svn,2016,541.2
svn,2017,578.1
svn,2018,634.1
svn,2019,647.9
svn,2020,563.7
svn,2021,768.3
svn,2022,717.2
svn,2023,977.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2962.1
svk,2009,1585.1
svk,2010,851.8
svk,2011,996.9
svk,2012,1160.5
svk,2013,692.1
svk,2014,645.8
svk,2015,729.7
svk,2016,789.7
svk,2017,816.9
svk,2018,850.4
svk,2019,1039
svk,2020,1090.4
svk,2021,1069.8
svk,2022,1038.6
svk,2023,1736.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,3666.9
fin,2009,3017.8
fin,2010,2989.3
fin,2011,3067.4
fin,2012,2753.9
fin,2013,2511.1
fin,2014,2549.1
fin,2015,2621.9
fin,2016,2750.7
fin,2017,2842.6
fin,2018,2904.8
fin,2019,2960.8
fin,2020,2832
fin,2021,3149.7
fin,2022,3031.5
fin,2023,3214.1
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4623.1
swe,2009,4336.1
swe,2010,4973.7
swe,2011,5255
swe,2012,5027.8
swe,2013,5255.8
swe,2014,5606.1
swe,2015,6122.1
swe,2016,6616
swe,2017,6934.1
swe,2018,7149.9
swe,2019,7388.8
swe,2020,7326.9
swe,2021,7553.9
swe,2022,6960
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,159
isl,2009,135.8
isl,2010,135.5
isl,2011,144.9
isl,2012,161.7
