country,year,foradl_lop_elek
aut,2010,5024.1
aut,2011,4776.2
aut,2012,5408.5
aut,2013,5111
aut,2014,5188.2
aut,2015,5369.4
aut,2016,5625
aut,2017,5994.9
aut,2018,5918.8
aut,2019,5462
aut,2020,4657.4
aut,2021,5147.3
aut,2022,5442
aut,2023,6027.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2630.6
pol,2009,2131.2
pol,2010,2316.6
pol,2011,2448.2
pol,2012,2563.6
pol,2013,2348.1
pol,2014,2721.8
pol,2015,3151.9
pol,2016,2880.7
pol,2017,2824.5
pol,2018,3188.8
pol,2019,3089.2
pol,2020,4278.9
pol,2021,5241.6
pol,2022,6917.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,662.8
prt,2009,629.6
prt,2010,668.3
prt,2011,605.7
prt,2012,556.5
prt,2013,579.4
prt,2014,580.8
prt,2015,591.6
prt,2016,600
prt,2017,646.5
prt,2018,647.8
prt,2019,689.6
prt,2020,656.2
prt,2021,744.2
prt,2022,806.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1261.9
rou,2009,1066
rou,2010,2395.9
rou,2011,2491.7
rou,2012,1997.9
rou,2013,1204.5
rou,2014,1441.5
rou,2015,2087
rou,2016,2108.5
rou,2017,2043.7
rou,2018,2009.6
rou,2019,2274.5
rou,2020,2379.1
rou,2021,2354.7
rou,2022,2492.7
rou,2023,2512.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,652
svn,2009,534.5
svn,2010,617
svn,2011,626.9
svn,2012,664.1
svn,2013,664.1
svn,2014,680
svn,2015,813.2
svn,2016,885.1
svn,2017,939.2
svn,2018,921.8
svn,2019,969
svn,2020,910.4
svn,2021,1044.3
svn,2022,1082
svn,2023,1221.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
