country,year,loner_lop_finans_stod
pol,2015,958.6
pol,2016,1009.6
pol,2017,1082.9
pol,2018,1309.2
pol,2019,1371.9
pol,2020,1383.5
pol,2021,1489.3
pol,2022,1611.8
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,303.5
prt,2009,303.4
prt,2010,310.3
prt,2011,280.4
prt,2012,275.9
prt,2013,281.3
prt,2014,274.8
prt,2015,296.6
prt,2016,332.8
prt,2017,344.9
prt,2018,383
prt,2019,411.9
prt,2020,425.1
prt,2021,473.9
prt,2022,549.3
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,645.8
rou,2009,413.8
rou,2010,69.9
rou,2011,124.8
rou,2012,139.2
rou,2013,107.5
rou,2014,119.5
rou,2015,100.6
rou,2016,94.1
rou,2017,121.9
rou,2018,138.4
rou,2019,120.5
rou,2020,138.2
rou,2021,167
rou,2022,178
rou,2023,201
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,57.4
svn,2009,53.3
svn,2010,48.6
svn,2011,46.4
svn,2012,42.3
svn,2013,43.8
svn,2014,42
svn,2015,45.5
svn,2016,46.3
svn,2017,47.1
svn,2018,47.8
svn,2019,54.1
svn,2020,50.7
svn,2021,54.5
svn,2022,62
svn,2023,70.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,60.3
svk,2009,65
svk,2010,60.5
svk,2011,64
svk,2012,80.7
svk,2013,78.9
svk,2014,84.2
svk,2015,84.8
svk,2016,84.8
svk,2017,87.3
svk,2018,94.1
svk,2019,98.2
svk,2020,106.4
svk,2021,120.9
svk,2022,130.1
svk,2023,125
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,444
fin,2009,405
fin,2010,419
fin,2011,442
fin,2012,454
fin,2013,523
fin,2014,519
fin,2015,633
fin,2016,659
fin,2017,623
fin,2018,673
fin,2019,703
fin,2020,688
fin,2021,788
fin,2022,863
fin,2023,938
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,803.3
swe,2009,695.7
swe,2010,822.1
swe,2011,900
swe,2012,945.2
swe,2013,949.2
swe,2014,907.3
swe,2015,1061.1
swe,2016,1205
swe,2017,1258.4
swe,2018,1360.8
swe,2019,1350.4
swe,2020,1486
swe,2021,1866.9
swe,2022,1774.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,27.1
isl,2009,18.2
isl,2010,23.1
isl,2011,25.2
isl,2012,26.3
isl,2013,29.8
isl,2014,33.9
isl,2015,38.6
isl,2016,43.7
isl,2017,52.7
isl,2018,50
isl,2019,48.1
isl,2020,43.3
isl,2021,50.1
isl,2022,58.9
isl,2023,61.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,987.6
nor,2009,884.5
nor,2010,987.7
nor,2011,993.4
nor,2012,1086.9
nor,2013,1080.9
nor,2014,1035.1
nor,2015,983.7
nor,2016,1033.1
nor,2017,1015.1
nor,2018,1029.2
nor,2019,997.2
nor,2020,1005.1
nor,2021,1209.3
nor,2022,1366.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,6056.6
che,2012,6192.6
che,2013,6247.2
che,2014,6458.5
che,2015,7628.3
che,2016,7670.8
che,2017,8573.4
che,2018,9579.6
che,2019,10242.2
che,2020,11356.8
che,2021,12125.4
che,2022,13992.7
che,2023,14752.5
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,16544.4
gbr,2009,16859.7
gbr,2010,17703.8
gbr,2011,16556.4
gbr,2012,16446.5
gbr,2013,17568.2
gbr,2014,19273.8
gbr,2015,23100.1
gbr,2016,21811.4
gbr,2017,21638.7
gbr,2018,21403.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,15
bih,2009,12.3
bih,2010,12.1
bih,2011,12.9
bih,2012,12.9
bih,2013,12.2
bih,2014,16.2
bih,2015,13.3
bih,2016,17.3
bih,2017,18.5
bih,2018,19.8
bih,2019,21.8
bih,2020,20.8
bih,2021,21.8
bih,2022,24.4
bih,2023,24.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,9.4
mkd,2009,5
mkd,2010,8.2
mkd,2011,7.5
