country,year,foradl_lop_ovr_mobel
aut,2011,2533.1
aut,2012,2558.1
aut,2013,2600.2
aut,2014,2703.2
aut,2015,2633.9
aut,2016,2731.2
aut,2017,2834.6
aut,2018,2846
aut,2019,2794.8
aut,2020,2578
aut,2021,2873.2
aut,2022,3086.2
aut,2023,3295
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3239.7
pol,2009,3340.2
pol,2010,3578
pol,2011,3606.8
pol,2012,3877.5
pol,2013,3457.1
pol,2014,4382.8
pol,2015,4690.1
pol,2016,4948.2
pol,2017,4800.6
pol,2018,5243.9
pol,2019,5669.2
pol,2020,5601.2
pol,2021,6161.6
pol,2022,6906.8
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,950.3
prt,2009,981.5
prt,2010,988.4
prt,2011,953
prt,2012,901.6
prt,2013,922.4
prt,2014,966.4
prt,2015,1022.7
prt,2016,1038.4
prt,2017,1146.4
prt,2018,1237.5
prt,2019,1314
prt,2020,1259.7
prt,2021,1431.5
prt,2022,1541.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1382.9
rou,2009,1050.1
rou,2010,969.2
rou,2011,905.2
rou,2012,738.3
rou,2013,1000.2
rou,2014,1105.5
rou,2015,1214
rou,2016,1274
rou,2017,1400.3
rou,2018,1422.3
rou,2019,1677.2
rou,2020,1549.7
rou,2021,1693.2
rou,2022,1772.8
rou,2023,1912.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,339.6
svn,2009,272.8
svn,2010,265.3
svn,2011,259.8
svn,2012,239.7
svn,2013,247
svn,2014,260.9
svn,2015,287.2
svn,2016,344.4
svn,2017,377.6
svn,2018,382.6
svn,2019,405.2
svn,2020,340.7
svn,2021,395.6
svn,2022,446.6
svn,2023,464.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,334.2
svk,2009,333.9
svk,2010,400.2
svk,2011,409.5
svk,2012,387.2
svk,2013,422.3
svk,2014,420.9
svk,2015,432.7
svk,2016,449.6
svk,2017,462.5
svk,2018,492.5
svk,2019,503.2
svk,2020,513.7
svk,2021,515.2
svk,2022,510.7
svk,2023,467.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,801
fin,2009,667
fin,2010,663
fin,2011,682
fin,2012,676
fin,2013,625
fin,2014,602
fin,2015,596
fin,2016,613
fin,2017,616
fin,2018,677
fin,2019,690
fin,2020,653
fin,2021,701
fin,2022,804
fin,2023,743
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2266.7
swe,2009,1955.6
swe,2010,2182.8
swe,2011,2472.5
swe,2012,2398.9
swe,2013,2164.8
swe,2014,2203.6
swe,2015,2108.3
swe,2016,2320.9
swe,2017,1989.4
swe,2018,1794.6
swe,2019,1869.2
swe,2020,2186.1
swe,2021,2216.7
swe,2022,1955.1
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,62.3
isl,2009,41.3
isl,2010,59.4
isl,2011,70.7
isl,2012,74.6
isl,2013,83.9
isl,2014,98.4
isl,2015,116.1
isl,2016,130.3
isl,2017,133
isl,2018,142.5
isl,2019,153.2
isl,2020,149.5
isl,2021,203.7
isl,2022,240.4
isl,2023,210.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
