country,year,foradl_lop_skog
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1883.9
swe,2009,1720.1
swe,2010,2369
swe,2011,2642.1
swe,2012,2292
swe,2013,2425.9
swe,2014,2490.6
swe,2015,2859.6
swe,2016,2900.9
swe,2017,2855.3
swe,2018,2934.2
swe,2019,2948.9
swe,2020,2635.5
swe,2021,2673.3
swe,2022,1958.8
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,0.9
isl,2009,0.9
isl,2010,0.6
isl,2011,0.4
isl,2012,-0.1
isl,2013,0.5
isl,2014,0.5
isl,2015,0.7
isl,2016,1
isl,2017,1.2
isl,2018,0.9
isl,2019,1.3
isl,2020,1.4
isl,2021,2.2
isl,2022,3
isl,2023,4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,690.9
nor,2009,521.4
nor,2010,693.5
nor,2011,681.3
nor,2012,628.1
nor,2013,540.9
nor,2014,595.6
nor,2015,574.1
nor,2016,525.5
nor,2017,578.1
nor,2018,695.8
nor,2019,732.8
nor,2020,553.8
nor,2021,704.3
nor,2022,820.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,535
gbr,2009,571.3
gbr,2010,459.3
gbr,2011,611.8
gbr,2012,779.4
gbr,2013,665.3
gbr,2014,733.1
gbr,2015,1136.6
gbr,2016,654.1
gbr,2017,730
gbr,2018,611.5
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,131.2
bih,2009,101.3
bih,2010,106.6
bih,2011,119.9
bih,2012,120.3
bih,2013,131
bih,2014,134.6
bih,2015,141.6
bih,2016,148.5
bih,2017,147.5
bih,2018,159.9
bih,2019,163
bih,2020,160
bih,2021,164.5
bih,2022,202.1
bih,2023,218.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,30.2
mkd,2009,31.7
mkd,2010,25.7
mkd,2011,24.5
mkd,2012,26
mkd,2013,29.4
mkd,2014,45.7
mkd,2015,39.3
mkd,2016,37.8
mkd,2017,36.8
mkd,2018,35
mkd,2019,34.8
mkd,2020,30.9
mkd,2021,32
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,79.5
srb,2009,61.1
srb,2010,66.6
srb,2011,81.7
srb,2012,86.2
srb,2013,90.2
srb,2014,86.4
srb,2015,85.2
srb,2016,92.2
srb,2017,102.6
srb,2018,105.2
srb,2019,111.9
srb,2020,120.5
srb,2021,132.9
srb,2022,164.5
srb,2023,168.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
