country,year,foradl_lop_magasin
prt,2021,3232
prt,2022,4072
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1710.8
rou,2009,1503
rou,2010,1287.1
rou,2011,1218
rou,2012,1603.7
rou,2013,1818.1
rou,2014,1850.3
rou,2015,1798
rou,2016,2063.4
rou,2017,2272.7
rou,2018,2372.3
rou,2019,2556.5
rou,2020,2368.3
rou,2021,2842.8
rou,2022,3630.2
rou,2023,3745.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,529.5
svn,2009,506.4
svn,2010,576.3
svn,2011,612.1
svn,2012,618.6
svn,2013,623
svn,2014,671.1
svn,2015,710.6
svn,2016,753.4
svn,2017,869.4
svn,2018,999.5
svn,2019,1019.3
svn,2020,881.6
svn,2021,1015.2
svn,2022,1194.5
svn,2023,1236.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1217.7
svk,2009,894.5
svk,2010,1022.1
svk,2011,1617.3
svk,2012,1325.7
svk,2013,1310.9
svk,2014,2122.4
svk,2015,2208.2
svk,2016,1653
svk,2017,1791.1
svk,2018,1895.7
svk,2019,1999.9
svk,2020,2047.6
svk,2021,2093.4
svk,2022,2489.6
svk,2023,2582.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1961
fin,2009,1753
fin,2010,1844
fin,2011,2123
fin,2012,2181
fin,2013,2149
fin,2014,2184
fin,2015,2211
fin,2016,2196
fin,2017,2335
fin,2018,2469
fin,2019,2594
fin,2020,2278
fin,2021,2531
fin,2022,2876
fin,2023,2870
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,
swe,2009,
swe,2010,
swe,2011,
swe,2012,
swe,2013,
swe,2014,
swe,2015,
swe,2016,
swe,2017,
swe,2018,
swe,2019,
swe,2020,
swe,2021,
swe,2022,
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,109
isl,2009,106.6
isl,2010,123
isl,2011,140.9
isl,2012,149.3
isl,2013,165.3
isl,2014,173.3
isl,2015,244.4
isl,2016,330.3
isl,2017,430.6
isl,2018,394.4
isl,2019,275.7
isl,2020,162.3
isl,2021,235.7
isl,2022,340.5
isl,2023,388.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2741
nor,2009,2428.9
nor,2010,2835.7
nor,2011,3161.1
nor,2012,3457.7
nor,2013,3623
nor,2014,3287.4
nor,2015,3413.4
nor,2016,2917.7
nor,2017,2837.5
nor,2018,2992.8
nor,2019,3037.6
nor,2020,2215.8
nor,2021,2622.4
nor,2022,3376.1
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2853.9
che,2009,3039.7
che,2010,3417.7
che,2011,4007.2
che,2012,4119.7
che,2013,4073.2
che,2014,4176.2
che,2015,4746.8
che,2016,4854.1
che,2017,4834.6
che,2018,4856.2
che,2019,5171.3
che,2020,4291.3
che,2021,4705.7
che,2022,6388.9
che,2023,6593.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,19749.3
gbr,2009,18147.1
gbr,2010,19981.6
gbr,2011,20094.9
gbr,2012,21525
gbr,2013,21358.6
gbr,2014,24564.6
gbr,2015,28498
gbr,2016,25402.7
gbr,2017,25163.4
gbr,2018,26683.3
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,54.6
bih,2009,52.6
bih,2010,54.4
bih,2011,57.2
bih,2012,58.3
bih,2013,56.3
bih,2014,63.1
bih,2015,67.2
bih,2016,89.8
bih,2017,122.5
bih,2018,131.4
bih,2019,146.6
bih,2020,123.6
