country,year,foradl_fast_hotell
aut,2011,15845.3
aut,2012,16200.4
aut,2013,15943.2
aut,2014,15593.8
aut,2015,16056.7
aut,2016,16340.6
aut,2017,16445.7
aut,2018,16490.5
aut,2019,16297.6
aut,2020,9120.4
aut,2021,7406.8
aut,2022,13258.4
aut,2023,13975.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3969.6
pol,2009,3858.7
pol,2010,3968.9
pol,2011,4309.3
pol,2012,4514.3
pol,2013,4565.6
pol,2014,5891.3
pol,2015,5905.9
pol,2016,5930.9
pol,2017,7244.2
pol,2018,7056
pol,2019,7134.8
pol,2020,5251.2
pol,2021,6400.2
pol,2022,7095
pol,2023,7078.3
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,8922
prt,2009,8961.2
prt,2010,9178.1
prt,2011,8977.1
prt,2012,8910
prt,2013,8832
prt,2014,9134.7
prt,2015,9298.9
prt,2016,9541.8
prt,2017,10236.9
prt,2018,10717.5
prt,2019,11171
prt,2020,6388.7
prt,2021,7172.2
prt,2022,10862.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2519
rou,2009,2535.7
rou,2010,1790.7
rou,2011,1319.5
rou,2012,1739.3
rou,2013,1775.6
rou,2014,1742.9
rou,2015,2485.6
rou,2016,2948.7
rou,2017,3411.5
rou,2018,3933.1
rou,2019,4758.2
rou,2020,2932.8
rou,2021,2827.7
rou,2022,3753
rou,2023,4066.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,942.4
svn,2009,841.8
svn,2010,849.4
svn,2011,873.2
svn,2012,829.1
svn,2013,840
svn,2014,854.3
svn,2015,870.6
svn,2016,892.6
svn,2017,961.7
svn,2018,1023
svn,2019,1079.2
svn,2020,628
svn,2021,804.2
svn,2022,1113
svn,2023,1168.3
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,752.9
svk,2009,670.4
svk,2010,816.1
svk,2011,790.8
svk,2012,998.2
svk,2013,1008.2
svk,2014,905.1
svk,2015,947.2
svk,2016,994.6
svk,2017,1070.6
svk,2018,1171.2
svk,2019,1201.3
svk,2020,1219.4
svk,2021,1354
svk,2022,1735.5
svk,2023,2213.9
svk,2024,2324.4
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,4354.8
fin,2009,3972.4
fin,2010,3776.6
fin,2011,3844.6
fin,2012,3904.5
fin,2013,3418.4
fin,2014,3319.4
fin,2015,3357.4
fin,2016,3352.8
fin,2017,3545.1
fin,2018,3560.1
fin,2019,3620
fin,2020,2550
fin,2021,2525.8
fin,2022,3462.2
fin,2023,3685.6
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,5972.8
swe,2009,5866.1
swe,2010,6045.3
swe,2011,6214.4
swe,2012,6308.5
swe,2013,6581.2
swe,2014,6834.8
swe,2015,7259.6
swe,2016,7609.3
swe,2017,7660.9
swe,2018,7813.1
swe,2019,7784.1
swe,2020,4990
swe,2021,5759.6
swe,2022,8126.8
swe,2023,8582.8
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,227.2
isl,2009,215.6
isl,2010,221.1
isl,2011,231.7
isl,2012,255
isl,2013,294.7
isl,2014,334.4
isl,2015,400.8
isl,2016,466.6
isl,2017,487.3
isl,2018,489.7
isl,2019,491.5
isl,2020,274.6
isl,2021,346.2
isl,2022,490.4
isl,2023,563.3
