country,year,loner_lop_met
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2375.9
nor,2009,2161.7
nor,2010,2223.3
nor,2011,2410.8
nor,2012,2673
nor,2013,2645.9
nor,2014,2563.3
nor,2015,2398.2
nor,2016,2289
nor,2017,2282.2
nor,2018,2331.9
nor,2019,2457.7
nor,2020,2232.4
nor,2021,2449.1
nor,2022,2680.7
nor,2023,2601.8
nor,2024,2802
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,6520.6
che,2012,6681.9
che,2013,6506.3
che,2014,6642.3
che,2015,7469
che,2016,7158.6
che,2017,6941.7
che,2018,6921.2
che,2019,7317.9
che,2020,7186.1
che,2021,7485.1
che,2022,8494.9
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,17606.9
gbr,2009,13747.3
gbr,2010,14613.4
gbr,2011,15249.8
gbr,2012,16513.1
gbr,2013,17378.7
gbr,2014,18374.4
gbr,2015,20092.6
gbr,2016,17357.3
gbr,2017,16484
gbr,2018,16585.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,221.3
bih,2009,192.6
bih,2010,197
bih,2011,211.7
bih,2012,222.6
bih,2013,226.3
bih,2014,218.1
bih,2015,217.3
bih,2016,231.1
bih,2017,261.9
bih,2018,289.3
bih,2019,308.9
bih,2020,292
bih,2021,322.4
bih,2022,397.9
bih,2023,444.5
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,74
mkd,2009,61.7
mkd,2010,65.2
mkd,2011,74.1
mkd,2012,72
mkd,2013,63.4
mkd,2014,70
mkd,2015,67.1
mkd,2016,66.3
mkd,2017,72.8
mkd,2018,72.8
mkd,2019,82.5
mkd,2020,91.8
mkd,2021,98.2
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,454.3
srb,2009,403.5
srb,2010,376.3
srb,2011,401.2
srb,2012,388.9
srb,2013,394.5
srb,2014,372.2
srb,2015,374.1
srb,2016,419
srb,2017,462
srb,2018,536.7
srb,2019,617.7
srb,2020,658.9
srb,2021,734.5
srb,2022,797.3
srb,2023,941.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,5055.6
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
