country,year,foradl_lop_admin
swe,2008,10045.6
swe,2009,8630.3
swe,2010,10591
swe,2011,12246.6
swe,2012,12763.5
swe,2013,13065.4
swe,2014,12972.6
swe,2015,13847.1
swe,2016,14812.9
swe,2017,15499.9
swe,2018,15381.5
swe,2019,14993.8
swe,2020,14082.3
swe,2021,15928
swe,2022,17479.7
swe,2023,17493.6
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,237.1
isl,2009,213
isl,2010,234.7
isl,2011,272.4
isl,2012,265.3
isl,2013,296.3
isl,2014,389.5
isl,2015,531.3
isl,2016,665.2
isl,2017,818.7
isl,2018,872.3
isl,2019,853.8
isl,2020,432.3
isl,2021,634.6
isl,2022,1016.8
isl,2023,1138.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,106.1
lie,2017,120.2
lie,2018,105.6
lie,2019,107.4
lie,2020,108.8
lie,2021,130.9
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,6895.2
nor,2009,6476
nor,2010,7161.2
nor,2011,8360.2
nor,2012,9471.6
nor,2013,9450.2
nor,2014,9163.6
nor,2015,8281.8
nor,2016,8093.9
nor,2017,8599.4
nor,2018,9272.6
nor,2019,9414.5
nor,2020,8264.6
nor,2021,9053.3
nor,2022,10597.2
nor,2023,9876
nor,2024,10381.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,9486.6
che,2009,10269.2
che,2010,12022.6
che,2011,13987.4
che,2012,14844.5
che,2013,15305.7
che,2014,16086.4
che,2015,19085.3
che,2016,18170.4
che,2017,18511.1
che,2018,18838.1
che,2019,20079.7
che,2020,18627.8
che,2021,20711.5
che,2022,24356.7
che,2023,26530.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,73298.3
gbr,2009,63998.7
gbr,2010,69631.9
gbr,2011,71811.8
gbr,2012,82164.8
gbr,2013,87708.1
gbr,2014,100031
gbr,2015,119328
gbr,2016,110368.8
gbr,2017,109901.1
gbr,2018,113843
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,89.6
bih,2009,82.3
bih,2010,86.1
bih,2011,86.5
bih,2012,92
bih,2013,97.8
bih,2014,113.1
bih,2015,119.2
bih,2016,126.2
bih,2017,136.9
bih,2018,151.3
bih,2019,173.5
bih,2020,173.6
bih,2021,216.3
bih,2022,285.9
bih,2023,349.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,14.3
mne,2009,19.9
mne,2010,25.2
mne,2011,26.5
mne,2012,29.1
mne,2013,37.3
mne,2014,37.5
mne,2015,40.1
mne,2016,70
mne,2017,88.3
mne,2018,98.1
mne,2019,103.6
mne,2020,76.1
mne,2021,80.2
mne,2022,102.3
mne,2023,118.1
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,69.6
mkd,2009,78.7
mkd,2010,85.2
mkd,2011,74.4
mkd,2012,80.7
mkd,2013,78.4
mkd,2014,87.7
mkd,2015,100.5
mkd,2016,119.1
mkd,2017,132
mkd,2018,137.1
mkd,2019,153.6
mkd,2020,141.3
mkd,2021,167
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,97.8
alb,2009,82.1
alb,2010,88.7
alb,2011,108
alb,2012,167.4
alb,2013,204.7
alb,2014,244.7
alb,2015,284.5
alb,2016,334.1
alb,2017,373.4
alb,2018,399.3
alb,2019,466.8
alb,2020,430.1
alb,2021,497.8
alb,2022,617.9
alb,2023,874.2
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,498.2
srb,2009,551.7
srb,2010,514.4
srb,2011,598.2
srb,2012,606.5
srb,2013,706
srb,2014,738.5
srb,2015,797.7
srb,2016,821.5
srb,2017,934.9
srb,2018,1063.4
srb,2019,1131.4
srb,2020,1114.6
srb,2021,1243.7
srb,2022,1396.1
srb,2023,1801
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,11808.3
tur,2009,10680.7
tur,2010,12411.7
tur,2011,13387.5
tur,2012,16124.3
tur,2013,18107.2
tur,2014,18916.5
tur,2015,21933
tur,2016,23286.1
tur,2017,23279.5
tur,2018,19613.8
tur,2019,20276.8
tur,2020,15831.3
tur,2021,17742.4
tur,2022,21967.2
tur,2023,30521
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
