country,year,loner_lop_icke_met
svn,2015,170.7
svn,2016,172.6
svn,2017,174.5
svn,2018,191
svn,2019,201.3
svn,2020,197.1
svn,2021,213.9
svn,2022,237
svn,2023,260.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,302.7
svk,2009,275.6
svk,2010,257.7
svk,2011,283.5
svk,2012,277.3
svk,2013,264.4
svk,2014,266.4
svk,2015,275.3
svk,2016,295.4
svk,2017,321.2
svk,2018,343.1
svk,2019,386.9
svk,2020,397.6
svk,2021,415.2
svk,2022,438.7
svk,2023,468.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,712
fin,2009,639
fin,2010,666
fin,2011,713
fin,2012,711
fin,2013,686
fin,2014,671
fin,2015,628
fin,2016,629
fin,2017,644
fin,2018,661
fin,2019,673
fin,2020,631
fin,2021,679
fin,2022,688
fin,2023,666
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,749.4
swe,2009,629.5
swe,2010,737.6
swe,2011,911.3
swe,2012,959.8
swe,2013,969
swe,2014,887
swe,2015,915.9
swe,2016,941.2
swe,2017,991.5
swe,2018,958.1
swe,2019,916.6
swe,2020,922.4
swe,2021,1005.2
swe,2022,955.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,56.8
isl,2009,25.3
isl,2010,18.5
isl,2011,20.6
isl,2012,20.4
isl,2013,21.6
isl,2014,28.4
isl,2015,36
isl,2016,45.4
isl,2017,62.9
isl,2018,69.6
isl,2019,68.9
isl,2020,61.9
isl,2021,71.5
isl,2022,88.1
isl,2023,90.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,653.2
nor,2009,573.1
nor,2010,619.2
nor,2011,675.7
nor,2012,740.6
nor,2013,725.4
nor,2014,696.4
nor,2015,667.9
nor,2016,670.7
nor,2017,708.3
nor,2018,730
nor,2019,710.7
nor,2020,638.5
nor,2021,705.6
nor,2022,758.2
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,1300.1
che,2012,1363.3
che,2013,1330.8
che,2014,1338
che,2015,1526.2
che,2016,1482.9
che,2017,1418.3
che,2018,1367.9
che,2019,1422.6
che,2020,1452.1
che,2021,1459
che,2022,1612.9
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,4750.8
gbr,2009,3742.1
gbr,2010,3859.7
gbr,2011,3486.7
gbr,2012,3905.7
gbr,2013,3673.8
gbr,2014,4237.6
gbr,2015,5036.9
gbr,2016,4383.3
gbr,2017,4186.3
gbr,2018,4337
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,53.7
bih,2009,49.9
bih,2010,44.4
bih,2011,41.4
bih,2012,42.2
bih,2013,41.1
bih,2014,39.9
bih,2015,39.9
bih,2016,39.4
bih,2017,41
bih,2018,44.2
bih,2019,47.6
bih,2020,50.5
bih,2021,54.5
bih,2022,64
bih,2023,75.8
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,25.4
mkd,2009,30.3
mkd,2010,23.7
mkd,2011,26.1
mkd,2012,24
mkd,2013,20
mkd,2014,21
mkd,2015,20.3
mkd,2016,18.8
mkd,2017,19.7
mkd,2018,20.6
mkd,2019,21.6
mkd,2020,22.7
mkd,2021,24.1
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,127.8
srb,2009,105
srb,2010,92
srb,2011,100.8
srb,2012,97
srb,2013,93.2
srb,2014,82.2
srb,2015,78.8
srb,2016,84.2
srb,2017,91
srb,2018,98.6
srb,2019,111.6
srb,2020,125.8
srb,2021,141.4
srb,2022,160.5
srb,2023,178.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,2638.7
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
