country,year,foradl_fast_kreativ
aut,2022,2765.2
aut,2023,2897.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2699.3
pol,2009,2735.1
pol,2010,2461.9
pol,2011,2537.9
pol,2012,2309.7
pol,2013,1993
pol,2014,1985.8
pol,2015,2095.4
pol,2016,2241.1
pol,2017,2068
pol,2018,2220.1
pol,2019,2230.7
pol,2020,2395.7
pol,2021,2404
pol,2022,2609.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,710.8
prt,2009,708.1
prt,2010,738.8
prt,2011,743.8
prt,2012,709.7
prt,2013,644.3
prt,2014,702.7
prt,2015,759
prt,2016,758.1
prt,2017,793.6
prt,2018,773.6
prt,2019,796.6
prt,2020,668.9
prt,2021,747
prt,2022,1049.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1546.8
rou,2009,2657.2
rou,2010,2986.8
rou,2011,4101.5
rou,2012,3144.4
rou,2013,2943.7
rou,2014,2920.7
rou,2015,2713.9
rou,2016,2583.6
rou,2017,2916.9
rou,2018,3145.7
rou,2019,3624
rou,2020,2413
rou,2021,2441.3
rou,2022,2760.8
rou,2023,2846.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,462.5
svn,2009,445.5
svn,2010,455.8
svn,2011,453.9
svn,2012,445.6
svn,2013,433.9
svn,2014,429.9
svn,2015,423.1
svn,2016,434.2
svn,2017,437.9
svn,2018,438
svn,2019,440.2
svn,2020,341.2
svn,2021,352.9
svn,2022,457.2
svn,2023,461.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,606.7
svk,2009,1023.7
svk,2010,1060.5
svk,2011,1155.9
svk,2012,1288.7
svk,2013,1308.9
svk,2014,1381.3
svk,2015,1611.1
svk,2016,1432.8
svk,2017,1439.3
svk,2018,1548
svk,2019,2095.3
svk,2020,1348.7
svk,2021,2151.9
svk,2022,1126.8
svk,2023,1275
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1545.2
fin,2009,1504.1
fin,2010,1514.9
fin,2011,1561.4
fin,2012,1428.5
fin,2013,1324.8
fin,2014,1204.8
fin,2015,1257.8
fin,2016,1284.8
fin,2017,1308.5
fin,2018,1384.2
fin,2019,1419.8
fin,2020,1261
fin,2021,1277.2
fin,2022,1398.2
fin,2023,1505.2
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3270.2
swe,2009,3198.6
swe,2010,3281.9
swe,2011,3422
swe,2012,3318.3
swe,2013,3474.3
swe,2014,3371.6
swe,2015,3460.9
swe,2016,3569.5
swe,2017,3560.5
swe,2018,3434.5
swe,2019,3817
