country,year,foradl_lop_motor_transp
nor,2020,1565.8
nor,2021,1770.4
nor,2022,1918.2
nor,2023,2104.9
nor,2024,2408
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1009.7
che,2009,1009.8
che,2010,1523.5
che,2011,2123.4
che,2012,2156.5
che,2013,2235.6
che,2014,2311.8
che,2015,2611.8
che,2016,2336.2
che,2017,2193.3
che,2018,2162.3
che,2019,2196.4
che,2020,1940.2
che,2021,2169.1
che,2022,2078.6
che,2023,2111.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,23002
gbr,2009,17365.9
gbr,2010,20327.8
gbr,2011,22695.5
gbr,2012,24487.3
gbr,2013,26784.5
gbr,2014,29602.3
gbr,2015,34952.6
gbr,2016,33295.5
gbr,2017,33022.7
gbr,2018,33104.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,27.5
bih,2009,25.5
bih,2010,31.2
bih,2011,36.1
bih,2012,38.4
bih,2013,44.3
bih,2014,47.4
bih,2015,50.1
bih,2016,60.8
bih,2017,69
bih,2018,77.2
bih,2019,74.1
bih,2020,63.5
bih,2021,74.7
bih,2022,94.6
bih,2023,108.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,11.7
mkd,2009,9.1
mkd,2010,3.3
mkd,2011,7
mkd,2012,5.5
mkd,2013,12.2
mkd,2014,40.6
mkd,2015,75.2
mkd,2016,89
mkd,2017,136.8
mkd,2018,202.6
mkd,2019,221.3
mkd,2020,173.5
mkd,2021,205
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,656.6
srb,2009,420.4
srb,2010,386.8
srb,2011,483.4
srb,2012,553.2
srb,2013,1346.4
srb,2014,1258
srb,2015,1116.1
srb,2016,1064.9
srb,2017,995.6
