country,year,foradl_lop_hotell
mlt,2010,291.5
mlt,2011,309.2
mlt,2012,321.8
mlt,2013,378.8
mlt,2014,399.4
mlt,2015,453.9
mlt,2016,460.5
mlt,2017,558.9
mlt,2018,631.1
mlt,2019,637.3
mlt,2020,246
mlt,2021,360.5
mlt,2022,636.9
mlt,2023,809.3
mlt,2024,984.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9551
nld,2009,9367
nld,2010,9208
nld,2011,9730
nld,2012,9884
nld,2013,10143
nld,2014,10897
nld,2015,11885
nld,2016,12918
nld,2017,13761
nld,2018,14864
nld,2019,15456
nld,2020,8766
nld,2021,10087
nld,2022,15941
nld,2023,18871
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,9654.1
aut,2009,9763.4
aut,2010,9983.2
aut,2011,10413.7
aut,2012,11027.1
aut,2013,11202.7
aut,2014,11443.6
aut,2015,12292.6
aut,2016,13061.1
aut,2017,13507.2
aut,2018,14126.2
aut,2019,14528.4
aut,2020,9120.4
aut,2021,8329
aut,2022,14021.9
aut,2023,16738.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3458
pol,2009,2898.8
pol,2010,3390.2
pol,2011,3696.8
pol,2012,3834.9
pol,2013,3706.7
pol,2014,4692.5
pol,2015,4831.9
pol,2016,4714
pol,2017,6065.8
pol,2018,6194.8
pol,2019,7016.5
pol,2020,5251.2
pol,2021,6748.7
pol,2022,9468.4
pol,2023,11630.1
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,7314
prt,2009,7522
prt,2010,7682.8
prt,2011,7595.3
prt,2012,7532.5
prt,2013,7471.3
prt,2014,7718.8
prt,2015,8088
prt,2016,8739.5
prt,2017,9998.8
prt,2018,10725.2
prt,2019,11315.4
prt,2020,6388.7
prt,2021,7913.7
prt,2022,12959.9
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1962.4
rou,2009,1887
rou,2010,1508.3
rou,2011,1253
rou,2012,1894.4
rou,2013,2147.3
rou,2014,1614.3
rou,2015,2330.2
rou,2016,2849.9
rou,2017,3237.2
rou,2018,3846.9
rou,2019,4953.9
rou,2020,2932.8
rou,2021,2929.7
rou,2022,4042.4
rou,2023,5059.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,736.4
svn,2009,699.7
svn,2010,688
svn,2011,715.7
svn,2012,690.8
svn,2013,696
svn,2014,714.2
svn,2015,736.9
svn,2016,816.1
svn,2017,886.4
svn,2018,976.7
svn,2019,1068.3
svn,2020,628
svn,2021,828
