country,year,foradl_fast_konst
fin,2007,
fin,2008,2662.5
fin,2009,2614.5
fin,2010,2630.2
fin,2011,2711.6
fin,2012,2568.6
fin,2013,2487.1
fin,2014,2378.5
fin,2015,2448.5
fin,2016,2547.7
fin,2017,2652.1
fin,2018,2783.7
fin,2019,2890.2
fin,2020,2555
fin,2021,2626
fin,2022,2903.7
fin,2023,3112.6
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,5441.4
swe,2009,5407.6
swe,2010,5482.2
swe,2011,5605.5
swe,2012,5599.3
swe,2013,5767.5
swe,2014,5697.2
swe,2015,5849.7
swe,2016,6097.2
swe,2017,6276.9
swe,2018,6231.6
swe,2019,6690.5
swe,2020,5326.7
swe,2021,5442
swe,2022,7256.4
swe,2023,7702.3
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,192.6
isl,2009,196.7
isl,2010,204.1
isl,2011,210.6
isl,2012,213.2
isl,2013,224.9
isl,2014,226.1
isl,2015,232.3
isl,2016,235.1
isl,2017,240
isl,2018,249.6
isl,2019,259.6
isl,2020,237.8
isl,2021,257.2
isl,2022,274.2
isl,2023,270.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3534
nor,2009,3369.5
nor,2010,3371.7
nor,2011,3350
nor,2012,3323
nor,2013,3371.1
nor,2014,3557.6
nor,2015,3636
nor,2016,3274.9
nor,2017,3225.6
nor,2018,3325.4
nor,2019,3397.3
nor,2020,2521.6
nor,2021,2863.4
nor,2022,3406.1
nor,2023,3597.9
nor,2024,3670.3
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,6954.3
che,2009,5327.1
che,2010,5663.2
che,2011,4908.6
che,2012,7074.6
che,2013,4549
che,2014,6110.4
che,2015,3930.3
che,2016,6717.4
che,2017,4810.3
che,2018,7109.2
che,2019,4993
che,2020,3270.1
che,2021,5617.7
che,2022,7905.4
che,2023,4352.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,53.2
mne,2009,64
mne,2010,72.2
mne,2011,58.3
mne,2012,59.7
mne,2013,61.9
mne,2014,63.5
mne,2015,65.9
mne,2016,65.4
mne,2017,65.2
mne,2018,70.1
mne,2019,65.6
mne,2020,63.6
mne,2021,64.3
mne,2022,79.3
mne,2023,85.8
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,199.4
mkd,2009,211.4
mkd,2010,165.4
mkd,2011,141.1
mkd,2012,137.2
mkd,2013,152
mkd,2014,179.4
mkd,2015,186.2
mkd,2016,203.1
mkd,2017,216.9
mkd,2018,233.5
mkd,2019,261
mkd,2020,184
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,512.4
srb,2009,580.6
srb,2010,578.1
srb,2011,590
srb,2012,580.9
srb,2013,553.8
srb,2014,535
srb,2015,530.4
srb,2016,555.7
srb,2017,568.6
srb,2018,607.1
srb,2019,649.8
srb,2020,548
srb,2021,678.6
srb,2022,840.2
srb,2023,847
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,2826.2
tur,2009,3175.6
tur,2010,3394
tur,2011,3742.9
tur,2012,3947.2
tur,2013,4538.5
tur,2014,4832.6
tur,2015,5039.9
tur,2016,5113.8
tur,2017,5501.5
