country,year,foradl_lop_fastighet
swe,2022,37766.6
swe,2023,38943.5
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1059.4
isl,2009,1009.8
isl,2010,1110.9
isl,2011,1111.3
isl,2012,1161.2
isl,2013,1259.1
isl,2014,1396.9
isl,2015,1568.5
isl,2016,1886.8
isl,2017,2264.1
isl,2018,2247
isl,2019,2351.1
isl,2020,2115.6
isl,2021,2195.5
isl,2022,2541.7
isl,2023,2582.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,337.6
lie,2017,323.8
lie,2018,328.9
lie,2019,358
lie,2020,347.2
lie,2021,357.4
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,17380.5
nor,2009,16611.1
nor,2010,19192.4
nor,2011,21025.2
nor,2012,22525.9
nor,2013,22524.2
nor,2014,22277
nor,2015,22463.1
nor,2016,22689.7
nor,2017,23066.2
nor,2018,23140.5
nor,2019,24018.9
nor,2020,21858.6
nor,2021,24861.3
nor,2022,28864
nor,2023,26741.4
nor,2024,27491.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,23759.8
che,2009,25369.7
che,2010,28270.8
che,2011,33109.5
che,2012,33904.2
che,2013,34119.8
che,2014,35637.3
che,2015,41450.8
che,2016,41684.5
che,2017,41458.4
che,2018,39885.9
che,2019,43947.1
che,2020,45871.2
che,2021,46924.3
che,2022,52161.3
che,2023,55183.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,244113.9
gbr,2009,197818
gbr,2010,202037.7
gbr,2011,210304.4
gbr,2012,246245.4
gbr,2013,240695.4
gbr,2014,273582.1
gbr,2015,324650.1
gbr,2016,302936
